AUTHOR	TITLE	JOURNAL	LANGUANGE	DOCTYPE	KEYWORDS	ABSTRACT	AFFILIATION	DOI	PUBYEAR	PUBVOL	PUBISSUE	FPAGE	LPAGE	ARTNUMBER	PAGENUM
Cancela, Jorge; Pastorino, Matteo; Tzallas, Alexandros; Tsipouras, Markos; Rigas, Giorgios; Arredondo, Maria; Fotiadis, Dimitrios	Wearability Assessment of a Wearable System for Parkinson’s Disease Remote Monitoring Based on a Body Area Network of Sensors	Sensors	EN	Article	: compliance; Parkinson’s disease; Body Area Network (BAN); remote monitoring; motor assessment	Wearable technologies for health monitoring have become a reality in the last few years. So far, most research studies have focused on assessments of the technical performance of these systems, as well as the validation of the clinical outcomes. Nevertheless, the success in the acceptance of these solutions depends not only on the technical and clinical effectiveness, but on the final user acceptance. In this work the compliance of a telehealth system for the remote monitoring of Parkinson’s disease (PD) patients is presented with testing in 32 PD patients. This system, called PERFORM, is based on a Body Area Network (BAN) of sensors which has already been validated both from the technical and clinical point for view. Diverse methodologies (REBA, Borg and CRS scales in combination with a body map) are employed to study the comfort, biomechanical and physiological effects of the system. The test results allow us to conclude that the acceptance of this system is satisfactory with all the levels of effect on each component scoring in the lowest ranges. This study also provided useful insights and guidelines to lead to redesign of the system to improve patient compliance.	Life Supporting Technologies, Universidad Politécnica de Madrid, Avenida Complutense 30,  Madrid 28040, Spain	10.3390/s140917235	2014	14	9	-	-	17235	21
Skalova, Stepanka; Svadlakova, Tereza; Qureshi, Wasay; Dev, Kapil; Mokry, Jaroslav	Induced Pluripotent Stem Cells and Their Use in Cardiac and Neural Regenerative Medicine	International Journal of Molecular Sciences	EN	Review	iPS cells; cell reprogramming; directed differentiation; Parkinson’s disease; Alzheimer’s disease; Huntington’s disease	Stem cells are unique pools of cells that are crucial for embryonic development and maintenance of adult tissue homeostasis. The landmark Nobel Prize winning research by Yamanaka and colleagues to induce pluripotency in somatic cells has reshaped the field of stem cell research. The complications related to the usage of pluripotent embryonic stem cells (ESCs) in human medicine, particularly ESC isolation and histoincompatibility were bypassed with induced pluripotent stem cell (iPSC) technology. The human iPSCs can be used for studying embryogenesis, disease modeling, drug testing and regenerative medicine. iPSCs can be diverted to different cell lineages using small molecules and growth factors. In this review we have focused on iPSC differentiation towards cardiac and neuronal lineages. Moreover, we deal with the use of iPSCs in regenerative medicine and modeling diseases like myocardial infarction, Timothy syndrome, dilated cardiomyopathy, Parkinson’s, Alzheimer’s and Huntington’s disease. Despite the promising potential of iPSCs, genome contamination and low efficacy of cell reprogramming remain significant challenges.	Department of Histology and Embryology, Medical Faculty in Hradec Kralove,  Charles University in Prague, Simkova 870, Hradec Kralove 50038, Czech Republic	10.3390/ijms16024043	2015	16	2	-	-	4043	25
Ciuti, Gastone; Ricotti, Leonardo; Menciassi, Arianna; Dario, Paolo	MEMS Sensor Technologies for Human Centred Applications in Healthcare, Physical Activities, Safety and Environmental Sensing: A Review on Research Activities in Italy	Sensors	EN	Review	MEMS sensor technologies; human centred applications; research activity in Italy; healthcare; rehabilitation; physical activities; sport science; safety; environmental sensing	Over the past few decades the increased level of public awareness concerning healthcare, physical activities, safety and environmental sensing has created an emerging need for smart sensor technologies and monitoring devices able to sense, classify, and provide feedbacks to users’ health status and physical activities, as well as to evaluate environmental and safety conditions in a pervasive, accurate and reliable fashion. Monitoring and precisely quantifying users’ physical activity with inertial measurement unit-based devices, for instance, has also proven to be important in health management of patients affected by chronic diseases, e.g., Parkinson’s disease, many of which are becoming highly prevalent in Italy and in the Western world. This review paper will focus on MEMS sensor technologies developed in Italy in the last three years describing research achievements for healthcare and physical activity, safety and environmental sensing, in addition to smart systems integration. Innovative and smart integrated solutions for sensing devices, pursued and implemented in Italian research centres, will be highlighted, together with specific applications of such technologies. Finally, the paper will depict the future perspective of sensor technologies and corresponding exploitation opportunities, again with a specific focus on Italy.	The BioRobotics Institute, Scuola Superiore Sant&#039;Anna, Pisa 56025, Italy	10.3390/s150306441	2015	15	3	-	-	6441	28
Oung, Qi; Muthusamy, Hariharan; Lee, Hoi; Basah, Shafriza; Yaacob, Sazali; Sarillee, Mohamed; Lee, Chia	Technologies for Assessment of Motor Disorders in Parkinson’s Disease: A Review	Sensors	EN	Review	Parkinson Disease (PD); wearable sensor; audio sensor; multimodal sensor; Unified Parkinson Disease Rating Scale (UPDRS)	Parkinson’s Disease (PD) is characterized as the commonest neurodegenerative illness that gradually degenerates the central nervous system. The goal of this review is to come out with a summary of the recent progress of numerous forms of sensors and systems that are related to diagnosis of PD in the past decades. The paper reviews the substantial researches on the application of technological tools (objective techniques) in the PD field applying different types of sensors proposed by previous researchers. In addition, this also includes the use of clinical tools (subjective techniques) for PD assessments, for instance, patient self-reports, patient diaries and the international gold standard reference scale, Unified Parkinson Disease Rating Scale (UPDRS). Comparative studies and critical descriptions of these approaches have been highlighted in this paper, giving an insight on the current state of the art. It is followed by explaining the merits of the multiple sensor fusion platform compared to single sensor platform for better monitoring progression of PD, and ends with thoughts about the future direction towards the need of multimodal sensor integration platform for the assessment of PD.	School of Mechatronic Engineering, Universiti Malaysia Perlis (UniMAP), Campus Pauh Putra,  02600 Arau, Perlis, Malaysia	10.3390/s150921710	2015	15	9	-	-	21710	36
Scholz, Sonja; Bras, Jose	Genetics Underlying Atypical Parkinsonism and Related Neurodegenerative Disorders	International Journal of Molecular Sciences	EN	Review	atypical parkinsonism; multiple system atrophy; dementia with Lewy bodies; progressive supranuclear palsy; corticobasal degeneration	Atypical parkinsonism syndromes, such as dementia with Lewy bodies, multiple system atrophy, progressive supranuclear palsy and corticobasal degeneration, are neurodegenerative diseases with complex clinical and pathological features. Heterogeneity in clinical presentations, possible secondary determinants as well as mimic syndromes pose a major challenge to accurately diagnose patients suffering from these devastating conditions. Over the last two decades, significant advancements in genomic technologies have provided us with increasing insights into the molecular pathogenesis of atypical parkinsonism and their intriguing relationships to related neurodegenerative diseases, fueling new hopes to incorporate molecular knowledge into our diagnostic, prognostic and therapeutic approaches towards managing these conditions. In this review article, we summarize the current understanding of genetic mechanisms implicated in atypical parkinsonism syndromes. We further highlight mimic syndromes relevant to differential considerations and possible future directions.	Neurodegenerative Diseases Research Unit, Laboratory of Neurogenetics,  National Institute of Neurological Disorders and Stroke, National Institutes of Health,  35 Convent Drive, Bethesda, MD 20892, USA	10.3390/ijms161024629	2015	16	10	-	-	24629	27
Hofmann-Apitius, Martin; Ball, Gordon; Gebel, Stephan; Bagewadi, Shweta; De Bono, Bernard; Schneider, Reinhard; Page, Matt; Kodamullil, Alpha; Younesi, Erfan; Ebeling, Christian; Tegnér, Jesper; Canard, Luc	Bioinformatics Mining and Modeling Methods for the Identification of Disease Mechanisms in Neurodegenerative Disorders	International Journal of Molecular Sciences	EN	Review	mechanism-identification; bioinformatics; genetics; graphical models; knowledge-based modeling; multiscale; neurodegeneration; data integration; disease models	Since the decoding of the Human Genome, techniques from bioinformatics, statistics, and machine learning have been instrumental in uncovering patterns in increasing amounts and types of different data produced by technical profiling technologies applied to clinical samples, animal models, and cellular systems. Yet, progress on unravelling biological mechanisms, causally driving diseases, has been limited, in part due to the inherent complexity of biological systems. Whereas we have witnessed progress in the areas of cancer, cardiovascular and metabolic diseases, the area of neurodegenerative diseases has proved to be very challenging. This is in part because the aetiology of neurodegenerative diseases such as Alzheimer´s disease or Parkinson´s disease is unknown, rendering it very difficult to discern early causal events. Here we describe a panel of bioinformatics and modeling approaches that have recently been developed to identify candidate mechanisms of neurodegenerative diseases based on publicly available data and knowledge. We identify two complementary strategies—data mining techniques using genetic data as a starting point to be further enriched using other data-types, or alternatively to encode prior knowledge about disease mechanisms in a model based framework supporting reasoning and enrichment analysis. Our review illustrates the challenges entailed in integrating heterogeneous, multiscale and multimodal information in the area of neurology in general and neurodegeneration in particular. We conclude, that progress would be accelerated by increasing efforts on performing systematic collection of multiple data-types over time from each individual suffering from neurodegenerative disease. The work presented here has been driven by project AETIONOMY; a project funded in the course of the Innovative Medicines Initiative (IMI); which is a public-private partnership of the European Federation of Pharmaceutical Industry Associations (EFPIA) and the European Commission (EC).	Department of Bioinformatics, Fraunhofer Institute for Algorithms and Scientific Computing (SCAI), Institutszentrum Birlinghoven, Sankt Augustin D-53754, Germany	10.3390/ijms161226148	2015	16	12	-	-	26148	-
Ozkan, Haydar	A Comparison of Classification Methods for Telediagnosis of Parkinson’s Disease	Entropy	EN	Article	telemedicine; Parkinson’s disease; machine learning; feature transformation; principal component analysis; k-nearest neighbor	Parkinson’s disease (PD) is a progressive and chronic nervous system disease that impairs the ability of speech, gait, and complex muscle-and-nerve actions. Early diagnosis of PD is quite important for alleviating the symptoms. Cost effective and convenient telemedicine technology helps to distinguish the patients with PD from healthy people using variations of dysphonia, gait or motor skills. In this study, a novel telemedicine technology was developed to detect PD remotely using dysphonia features. Feature transformation and several machine learning (ML) methods with 2-, 5- and 10-fold cross-validations were implemented on the vocal features. It was observed that the combination of principal component analysis (PCA) as a feature transformation (FT) and k-nearest neighbor (k-NN) as a classifier with 10-fold cross-validation has the best accuracy as 99.1%. All ML processes were applied to the prerecorded PD dataset using a newly created program named ParkDet 2.0. Additionally, the blind test interface was created on the ParkDet so that users could detect new patients with PD in future. Clinicians or medical technicians, without any knowledge of ML, will be able to use the blind test interface to detect PD at a clinic or remote location utilizing internet as a telemedicine application.	Electrical Engineering Department, University of California, Los Angeles, CA 90095, USA	10.3390/e18040115	2016	18	4	-	-	115	-
Parrales Bravo, Franklin; Del Barrio García, Alberto; Gallego de la Sacristana, Mercedes; López Manzanares, Lydia; Vivancos, José; Ayala Rodrigo, José	Support System to Improve Reading Activity in Parkinson’s Disease and Essential Tremor Patients	Sensors	EN	Article	Parkinson’s disease; essential tremor; e-health; user experience	The use of information and communication technologies (ICTs) to improve the quality of life of people with chronic and degenerative diseases is a topic receiving much attention nowadays. We can observe that new technologies have driven numerous scientific projects in e-Health, encompassing Smart and Mobile Health, in order to address all the matters related to data processing and health. Our work focuses on helping to improve the quality of life of people with Parkinson’s Disease (PD) and Essential Tremor (ET) by means of a low-cost platform that enables them to read books in an easy manner. Our system is composed of two robotic arms and a graphical interface developed for Android platforms. After several tests, our proposal has achieved a 96.5% accuracy for A4 80 gr non-glossy paper. Moreover, our system has outperformed the state-of-the-art platforms considering different types of paper and inclined surfaces. The feedback from ET and PD patients was collected at “La Princesa” University Hospital in Madrid and was used to study the user experience. Several features such as ease of use, speed, correct behavior or confidence were measured via patient feedback, and a high level of satisfaction was awarded to most of them. According to the patients, our system is a promising tool for facilitating the activity of reading.	Faculty of Computer Science, Complutense University of Madrid, Av. Séneca, 2, 28040 Madrid, Spain	10.3390/s17051006	2017	17	5	-	-	1006	-
Kreowski, Hans-Jörg	Transhumanism and Nanotechnology—Will Old Myths Come True?	Proceedings	EN	Proceeding Paper	transhumanism; nanotechnology; mythology	A major goal of transhumanism is the transformation of human beings into posthuman ones by exploiting present and emerging technologies. Nanotechnology is considered as a promising candidate in this respect. Its objects of interest are molecular structures with their surface properties and their specific design as sensors and actuators in various environments including the human blood circulation, lung, brain, etc. In the mythologies all over the world one encounters the idea of super-natural strength, invulnerability, eternal youth, invisibility, invincibility, and immortality. Some proponents of transhumanism dream of a future in which all this will come true. And there are leading experts in nanotechnology who formulate quite similar aims and objectives of their area: the obligatory victory over Alzheimer disease and Parkinson disease, cleansing of wounds, blood, lung, brain enhancement, soldiers who fight without fear, managers who need no sleep to be able to work 24 h a day 7 days a week for their companies, magic hoods, and much more. In the presentation, I discussed the relation between transhumanism and nanotechnology and compile some reasons why old myths will not come true.	Computer Science Department, University of Bremen, P.O. Box 330440, 28334 Bremen, Germany	10.3390/IS4SI-2017-03965	2017	1	3	-	-	243	-
Jeon, Hyoseon; Lee, Woongwoo; Park, Hyeyoung; Lee, Hong; Kim, Sang; Kim, Han; Jeon, Beomseok; Park, Kwang	Automatic Classification of Tremor Severity in Parkinson’s Disease Using a Wearable Device	Sensors	EN	Article	tremor; UPDRS; automatic scoring; Parkinson’s disease; wearable device; machine learning algorithm	Although there is clinical demand for new technology that can accurately measure Parkinsonian tremors, automatic scoring of Parkinsonian tremors using machine-learning approaches has not yet been employed. This study aims to fill this gap by proposing machine-learning algorithms as a way to predict the Unified Parkinson’s Disease Rating Scale (UPDRS), which are similar to how neurologists rate scores in actual clinical practice. In this study, the tremor signals of 85 patients with Parkinson’s disease (PD) were measured using a wrist-watch-type wearable device consisting of an accelerometer and a gyroscope. The displacement and angle signals were calculated from the measured acceleration and angular velocity, and the acceleration, angular velocity, displacement, and angle signals were used for analysis. Nineteen features were extracted from each signal, and the pairwise correlation strategy was used to reduce the number of feature dimensions. With the selected features, a decision tree (DT), support vector machine (SVM), discriminant analysis (DA), random forest (RF), and k-nearest-neighbor (kNN) algorithm were explored for automatic scoring of the Parkinsonian tremor severity. The performance of the employed classifiers was analyzed using accuracy, recall, and precision, and compared to other findings in similar studies. Finally, the limitations and plans for further study are discussed.	The Interdisciplinary Program for Bioengineering, Seoul National University, Seoul 03080, Korea	10.3390/s17092067	2017	17	9	-	-	2067	-
