"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Inertial Measurement Units (IMUs) in Early Gait Recognition of Parkinson’s Disease: An Ensemble Learning Approach","Z. Zheng; C. Gong; X. Zhao; L. Zhang; L. Meng; L. Chen; C. Cui; W. Chen; F. He","Faculty of Medicine, Tianjin University, Tianjin, China; Future Research Institute, China Mobile Research Institute, Beijing, China; School of Automation, Beijing Information Science and Technology University, Beijing, China; The Affiliated Brain Hospital of Guangzhou Medical University, Guangzhou, China; Faculty of Medicine, Tianjin University, Tianjin, China; Department of Neurology, Tianjin Huanhu Hospital, Tianjin, China; Future Research Institute, China Mobile Research Institute, Beijing, China; School of Automation, Beijing Information Science and Technology University, Beijing, China; Faculty of Medicine, Tianjin University, Tianjin, China",2024 8th Asian Conference on Artificial Intelligence Technology (ACAIT),"10 Jun 2025","2024","","","987","990","Real-time home healthcare represents a typical application scenario for future sixth-generation (6G) communication technology. Parkinson's Disease (PD) is a neurodegenerative disorder that significantly affects motor functions, including gait, leading to shuffling steps, festinating gait, and freezing of gait. Early diagnosis of PD is crucial, as timely intervention can mitigate disease progression. This paper presents an ensemble learning approach to improve early recognition of PD through gait analysis. We construct a dataset of over 2,000 samples from both PD patients and healthy controls, utilizing 6-axis Inertial Measurement Units (IMUs) to capture gait metrics. An adaptive ensemble learning model, incorporating five different classifiers, is trained on this dataset, achieving an F1 score of 96.54% and an accuracy of 96.61% in distinguishing PD patients from healthy controls.","","979-8-3315-1709-0","10.1109/ACAIT63902.2024.11022046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11022046","ensemble learning;gait analysis;inertial measurement units (IMUs);parkinson's disease;sixth-Generation communication technology (6G)","6G mobile communication;Adaptation models;Measurement units;Accuracy;Parkinson's disease;Refining;Inertial navigation;Communications technology;Ensemble learning;Gait recognition","","","","10","IEEE","10 Jun 2025","","","IEEE","IEEE Conferences"
"Early Parkinson’s Disease Detection via Touchscreen Typing Analysis using Convolutional Neural Networks","D. Iakovakis; S. Hadjidimitriou; V. Charisis; S. Bostanjopoulou; Z. Katsarou; L. Klingelhoefer; S. Mayer; H. Reichmann; S. B. Dias; J. A. Diniz; D. Trivedi; R. K. Chaudhuri; L. J. Hadjileontiadis","Signal Processing and Biomedical Technology Unit, Telecommunications Laboratory, Aristotle University of Thessaloniki, Thessaloniki, Greece; Signal Processing and Biomedical Technology Unit, Telecommunications Laboratory, Aristotle University of Thessaloniki, Thessaloniki, Greece; Signal Processing and Biomedical Technology Unit, Telecommunications Laboratory, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Neurology, Hippokration Hospital, Thessaloniki, Greece; Department of Neurology, Hippokration Hospital, Thessaloniki, Greece; Department of Neurology, Technical University Dresden, Dresden, Germany; Department of Neurology, Technical University Dresden, Dresden, Germany; Department of Neurology, Technical University Dresden, Dresden, Germany; Faculdade de Motricidade Humana, Universidade de Lisboa, Lisbon, Portugal; Faculdade de Motricidade Humana, Universidade de Lisboa, Lisbon, Portugal; International Parkinson Excellence Research Centre, King's College Hospital NHS Foundation Trust, London, United Kingdom; International Parkinson Excellence Research Centre, King's College Hospital NHS Foundation Trust, London, United Kingdom; Signal Processing and Biomedical Technology Unit, Telecommunications Laboratory, Aristotle University of Thessaloniki, Thessaloniki, Greece",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","3535","3538","Parkinson's Disease (PD) is the second most common neurodegenerative disorder worldwide, causing both motor and non-motor symptoms. In the early stages, symptoms are mild and patients may ignore their existence. As a result, they do not undergo any related clinical examination; hence delaying their PD diagnosis. In an effort to remedy such delay, analysis of data passively captured from user's interaction with consumer technologies has been recently explored towards remote screening of early PD motor signs. In the current study, a smartphone-based method analyzing subjects' finger interaction with the smartphone screen is developed for the quantification of fine-motor skills decline in early PD using Convolutional Neural Networks. Experimental results from the analysis of keystroke typing in-the-clinic data from 18 early PD patients and 15 healthy controls have shown a classification performance of 0.89 Area Under the Curve (AUC) with 0.79/0.79 sensitivity/specificity, respectively. Evaluation of the generalization ability of the proposed approach was made by its application on typing data arising from a separate self-reported cohort of 27 PD patients' and 84 healthy controls' daily usage with their personal smartphones (data in-the-wild), achieving 0.79 AUC with 0.74/0.78 sensitivity/specificity, respectively. The results show the potentiality of the proposed approach to process keystroke dynamics arising from users' natural typing activity to detect PD, which contributes to the development of digital tools for remote pathological symptom screening.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8857211","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8857211","","Keyboards;Pipelines;Parkinson's disease;Convolutional neural networks;Tools;Monitoring","Early Diagnosis;Humans;Motor Skills;Neural Networks, Computer;Parkinson Disease;Sensitivity and Specificity;Smartphone;User-Computer Interface","17","","13","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"Objective quantification of upper extremity motor functions in Unified Parkinson's Disease Rating Scale Test","X. Jia; N. Duroseau; V. Chan; C. Ciraco; R. Wang; S. M. Nia; K. Ho; J. P. Govindavari; F. Delgosha; T. Chan; K. M. Pergament; B. Krishnamachari; A. Farajidavar","The Integrated Medical Systems (IMS) Laboratory, New York Institute of Technology (NYIT), Old Westbury, NY, USA; The College of Osteopathic Medicine, New York Institute of Technology (NYIT), Old Westbury, NY, USA; The College of Osteopathic Medicine, New York Institute of Technology (NYIT), Old Westbury, NY, USA; The College of Osteopathic Medicine, New York Institute of Technology (NYIT), Old Westbury, NY, USA; The Integrated Medical Systems (IMS) Laboratory, New York Institute of Technology (NYIT), Old Westbury, NY, USA; IMS Laboratory and with the College of Arts and Sciences at the New York Institute of Technology (NYIT), Old Westbury, NY, USA; New York Institute of Technology, Old Westbury, NY, US; The College of Osteopathic Medicine, New York Institute of Technology (NYIT), Old Westbury, NY, USA; School of Engineering and Computing Sciences, New York Institute of Technology (NYIT), Old Westbury, NY, USA; The College of Osteopathic Medicine, New York Institute of Technology (NYIT), Old Westbury, NY, USA; New York Institute of Technology, Old Westbury, NY, US; The College of Osteopathic Medicine, New York Institute of Technology (NYIT), Old Westbury, NY, USA; The Integrated Medical Systems (IMS) Laboratory, New York Institute of Technology (NYIT), Old Westbury, NY, USA",2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"6 Nov 2014","2014","","","5345","5348","Two tri-axial accelerometers were placed on the wrists (one on each hand) of the patients with Parkinson's disease (PD) and a non-PD control group. Subjects were asked to perform three of the upper extremity motor function tasks from the Unified Parkinson's Disease Rating Scale (UPDRS) test. The tasks were: 1) finger tapping, 2) opening and closing of palms, and 3) pronation-supination movements of the forearms. The inertia signals were wirelessly received and stored on a computer for further off-line analysis. Various features such as range, standard deviation, entropy, time to accomplish the task, and maximum frequency present in the signal were extracted and compared. The results showed that among the studied population, “standard deviation”, “range”, “entropy”, “time” and “max frequency” are the best to worst features, respectively, to distinguish between the non-PD and PD subjects. Furthermore, using the mentioned features, it is more probable to distinguish between the non-PD and PD subjects from tasks 2 and 3 as opposed to task 1.","1558-4615","978-1-4244-7929-0","10.1109/EMBC.2014.6944833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6944833","","Feature extraction;Standards;Accelerometers;Entropy;Electronic mail;Parkinson's disease","Accelerometry;Aged;Aged, 80 and over;Humans;Middle Aged;Parkinson Disease;Severity of Illness Index;Task Performance and Analysis;Wrist","3","","14","IEEE","6 Nov 2014","","","IEEE","IEEE Conferences"
"Parkinsons Disease Progression Prediction using Advanced Machine Learning Techniques","T. Bhattacharya; K. T. Thomas; L. Mathew","Department of Data Science, Christ (Deemed To Be) University, Pune, India; Department of Data Science, Christ (Deemed To Be) University, Pune, India; Department of Data Science, Christ (Deemed To Be) University, Pune, India",2024 International Conference on Electrical Electronics and Computing Technologies (ICEECT),"4 Nov 2024","2024","1","","1","5","Parkinson's disease (PD) is a neurodegenerative condition that affects people over time and significantly lowers their quality of life. Patients with PD experience both motor and non-motor symptoms. Through clinical evaluation, the Unified Parkinson's Disease Rating Scale (UPDRS) is used to quantify the severity of Parkinson's disease. No definitive diagnostic tests for PD currently exist. Emerging machine learning techniques show potential to forecast future UPDRS scores for making informed medical decisions and enable better disease management. This paper studies research leveraging proteomic data to forecast PD prognosis, focusing on advanced machine learning techniques like CatBoost Regressor, ElasticNet, XGBoost Regressor, RandomForest Regressor, ExtraTrees Regressor and DecisionTree Regressor.","","979-8-3503-7809-2","10.1109/ICEECT61758.2024.10739044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10739044","parkinsons’ disease;machine learning;unified parkinson's disease rating scale (UPDRS);proteomic data;CatBoost regressor;extraTrees regressor","Proteins;Parkinson's disease;Peptides;Proteomics;Biomarkers;Predictive models;Robustness;Planning;Prognostics and health management;Mutual information","","2","","15","IEEE","4 Nov 2024","","","IEEE","IEEE Conferences"
"An Emerging Era in the Management of Parkinson's Disease: Wearable Technologies and the Internet of Things","C. F. Pasluosta; H. Gassner; J. Winkler; J. Klucken; B. M. Eskofier","Department of Molecular Neurology, University Hospital Erlangen, Erlangen, Germany; Department of Molecular Neurology, University Hospital Erlangen, Erlangen, Germany; Department of Molecular Neurology, University Hospital Erlangen, Erlangen, Germany; Department of Molecular Neurology, University Hospital Erlangen, Erlangen, Germany; Digital Sports Group, Pattern Recognition Laboratory, Department of Computer Science, Friedrich Alexander University Erlangen-Nürnberg (FAU), Erlangen, Germany",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2015","19","6","1873","1881","Current challenges demand a profound restructuration of the global healthcare system. A more efficient system is required to cope with the growing world population and increased life expectancy, which is associated with a marked prevalence of chronic neurological disorders such as Parkinson's disease (PD). One possible approach to meet this demand is a laterally distributed platform such as the Internet of Things (IoT). Real-time motion metrics in PD could be obtained virtually in any scenario by placing lightweight wearable sensors in the patient's clothes and connecting them to a medical database through mobile devices such as cell phones or tablets. Technologies exist to collect huge amounts of patient data not only during regular medical visits but also at home during activities of daily life. These data could be fed into intelligent algorithms to first discriminate relevant threatening conditions, adjust medications based on online obtained physical deficits, and facilitate strategies to modify disease progression. A major impact of this approach lies in its efficiency, by maximizing resources and drastically improving the patient experience. The patient participates actively in disease management via combined objective device- and self-assessment and by sharing information within both medical and peer groups. Here, we review and discuss the existing wearable technologies and the Internet-of-Things concept applied to PD, with an emphasis on how this technological platform may lead to a shift in paradigm in terms of diagnostics and treatment.","2168-2208","","10.1109/JBHI.2015.2461555","FAU Emerging Fields Initiative; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7169494","Wearable technologies;Internet of Things;Parkinson’s disease;knowledge discovery;patients;Internet of things (IoT);knowledge discovery;parkinson's disease (PD);patients;wearable technologies","Parkinson's disease;Biomedical monitoring;Internet of things;Wearable sensors","Cell Phone;Humans;Internet;Monitoring, Ambulatory;Parkinson Disease;Telemedicine","272","","112","IEEE","28 Jul 2015","","","IEEE","IEEE Journals"
"Assessment of Parkinson's Motor Severity by Multi-feature and Multi-scale Motion Convolutional Neural Network with Positional Encoding","Y. Zhou; L. Xiao; X. Su; X. Xu","School of Communication and Information Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China","2023 4th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)","21 Aug 2023","2023","","","179","183","Parkinson's disease is one of the most common neurodegenerative diseases. Its main clinical manifestations are a variety of movement disorders, including abnormal gait, which seriously affect the performance of motor function, leading to shaking hands at rest, bradykinesia, myotonia, and difficulty in maintaining postural balance. The current work focuses on the methods of wearable devices and non-wearable devices to evaluate sports injuries. However, the network models based on the Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) to quantify the severity of Parkinson's disease injuries have problems such as incomplete generalization of input features, insufficient feature extraction of network models, and imbalance between recognition accuracy and model size. A lightweight and high-precision convolutional neural network model is essential for accurate and quantitative assessment of disease progression and for slowing or preventing further disease progression. Regarding the above issues, we use a computer vision-based model to observe video recordings of the human body, extract their 3D body skeletons, track them through time, and input them into our proposed a Triple-feature Triple-motion Convolutional Neural Network (PE-TTNET) with Positional encoding for training. We position encode the triple scale features and classify the gait severity of PD patients based on MDS-UPDRS. The experimental results indicate that PE-TTNET achieved better results compared to previous network models in testing the clinical dataset we collected, with higher Fl-score and average accuracy in classifying the severity level of Parkinson's disease.","","979-8-3503-1452-6","10.1109/AINIT59027.2023.10212599","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212599","Convolutional Neural Network;3D body skeletons;Parkinson's disease","Three-dimensional displays;Parkinson's disease;Computational modeling;Wearable computers;Feature extraction;Bones;Encoding","","1","","14","IEEE","21 Aug 2023","","","IEEE","IEEE Conferences"
"Classification Using Radial Basis Function for Prediction of Parkinson's Disease","M. M. Umar; S. Naaz","Department of Computer Science and Engineering, School of Engineering Sciences and Technology, New Delhi, India; Department of Computer Science and Engineering, School of Engineering Sciences and Technology, New Delhi, India",2022 IEEE 3rd Global Conference for Advancement in Technology (GCAT),"12 Dec 2022","2022","","","1","6","Parkinson's is a disease of the nervous system which is a progressive in nature. The main cause of this disease is damaged neurons in the brain which are responsible for generating dopamine. This results in people not being able to control their body part movements which affect their day to day activities badly. More than 6 million individuals worldwide have Parkinson disease. These symptoms keep growing over time, till the patient realize they have Parkinson's disease. This paper aims to employ Radial Basis function for predicting of presence or absence of Parkinson's disease using the Motor Unified Parkinson's Disease Rating Scale and Total Unified Parkinson's Disease Rating Scale score. An accuracy of 97% percent has been obtained in this work.","","978-1-6654-6855-8","10.1109/GCAT55367.2022.9971828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9971828","Parkinson's disease;radial basis function;Total UPDRS;MOTOR UPDRS;K means clustering","Machine learning algorithms;Parkinson's disease;Neurons;Machine learning;Software;Data mining;Clinical diagnosis","","5","","18","IEEE","12 Dec 2022","","","IEEE","IEEE Conferences"
"Speech-Based Parkinson's Disease Classification with KNN: Achieving High Accuracy in Non-Invasive Diagnostics","T. Soni; D. Gupta; M. Dutta; B. V. Kumar; H. MuhamedAle","Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; School of Computer Science and Artificial Intelligence, SR University, Warangal, Telangana, India; Department of Computers Techniques Engineering, College of Technical Engineering, The Islamic University, Najaf, Iraq",2025 4th OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 5.0,"14 Jul 2025","2025","","","1","4","Progressive neurodegenerative illness Parkinson's disease (PD) is typified by non-motor symptoms that seriously impair quality of life as well as motor symptoms including tremors, stiffness, and bradykinesia. Good management and treatment of Parkinson's disease depend on an early and precise diagnosis. used a number of machine learning techniques to divide the voice samples into groups with and without Parkinson's Disease. At an accuracy of 88.8%, the K-Nearest Neighbours (KNN) method outperformed the other models examined. Strong training and validation procedures were made possible by the large dimensionality and variety of the features in the dataset, underscoring the promise of speech signal analysis for Parkinson's disease early diagnosis and monitoring. We show that KNN is effective in managing complicated, high-dimensional biomedical information and offer a viable path for non-invasive Parkinson's disease diagnosis tools.","","979-8-3315-3536-0","10.1109/OTCON65728.2025.11070689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11070689","Parkinson's disease;Machine Learning;KNN;Decision Tree;Healthcare","Training;Technological innovation;Accuracy;Parkinson's disease;Medical services;Nearest neighbor methods;Recording;Decision trees;Signal analysis;Resilience","","","","13","IEEE","14 Jul 2025","","","IEEE","IEEE Conferences"
"Association of Neurological Family Health History in Parkinson's Diseases","S. Gupta; S. Bose; V. Majhi","Amity School of Engineering and Technology, Amity University Uttar Pradesh, Noida, India; Inrec Productive Research Solutions and Services Private Limited, Domkal, India; Amity Innovation and Design Centre, Amity University Uttar Pradesh, Noida, India",2024 International Conference on Brain Computer Interface & Healthcare Technologies (iCon-BCIHT),"19 Feb 2025","2024","","","207","212","Parkinson's disease (PD) is a neurodegenerative disorder primarily affecting elderly people. While the exact cause of idiopathic PD is still unknown, a family history of the condition has been observed in 10 to 15 percent of cases. In addition, Mendelian inheritance patterns are seen in about 5% of cases. In this study we aimed to assess the significant correlation between the development of PD with individual's family's neurological health history. Here we have considered total 13 specific questionnaire related to the subject's neurological family history. The statistical attribution has been made for both uncategorized and categorized by sex. There are notable correlations observed between the PD patient and the history of neurological disorders in family members. Here, we saw that most of them-such as anxiety, depression, Alzheimer's disease, and Parkinson's disease-are protective in nature, while very few-such as the multiple sclerosis (OR-3.25) of the paternal grandmother, the dystonia (OR-1.92) maternal grandmother, and the schizophrenia (OR-1.65) of the mother-act as risk factors. These figures also demonstrate how important family history is in determining the likelihood that the next generation will develop Parkinson's disease.","","979-8-3315-4006-7","10.1109/iCon-BCIHT63907.2024.10882367","The Michael J. Fox Foundation for Parkinson's Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10882367","Parkinson's Disease;Health History;Family Health History","Neurological diseases;Correlation;Parkinson's disease;Statistical analysis;Schizophrenia;History;Alzheimer's disease;Older adults;Next generation networking;Diseases","","","","16","IEEE","19 Feb 2025","","","IEEE","IEEE Conferences"
"Classification and visualization tool for gait analysis of Parkinson's disease","U. K. Pun; H. Gu; Z. Dong; N. S. Artan","New York Institute of Technology, New York, NY, USA; New York Institute of Technology, New York, NY, USA; New York Institute of Technology, New York, NY, USA; New York Institute of Technology, New York, NY, USA",2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"18 Oct 2016","2016","","","2407","2410","There is no standard diagnostic test for Parkinson's Disease. In this paper, we propose a data mining based statistical diagnostic method towards a standard and accurate diagnostic test. The result shows the proposed regression formula, which only requires patient's stride data, can provide a 90% accuracy to diagnose PD patients.","1558-4615","978-1-4577-0220-4","10.1109/EMBC.2016.7591215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7591215","classification;visualization;Parkinson's Disease","Data visualization;PD control;Three-dimensional displays;Parkinson's disease;Standards;Databases","Adult;Aged;Aged, 80 and over;Case-Control Studies;Data Mining;Female;Gait;Humans;Imaging, Three-Dimensional;Male;Middle Aged;Models, Statistical;Parkinson Disease;Regression Analysis;Reproducibility of Results;Statistics as Topic;Young Adult","9","","9","IEEE","18 Oct 2016","","","IEEE","IEEE Conferences"
