AUTHOR	TITLE	JOURNAL	LANGUANGE	DOCTYPE	KEYWORDS	ABSTRACT	AFFILIATION	DOI	PUBYEAR	PUBVOL	PUBISSUE	FPAGE	LPAGE	ARTNUMBER	PAGENUM
Bailey, Jessica; Pericak-Vance, Margaret; Haines, Jonathan	The Impact of the Human Genome Project on Complex Disease	Genes	EN	Review	human genome project; age-related macular degeneration; Alzheimer’s disease; multiple sclerosis; genetics; genomics; genome-wide association study	In the decade that has passed since the initial release of the Human Genome, numerous advancements in science and technology within and beyond genetics and genomics have been encouraged and enhanced by the availability of this vast and remarkable data resource. Progress in understanding three common, complex diseases: age-related macular degeneration (AMD), Alzheimer’s disease (AD), and multiple sclerosis (MS), are three exemplars of the incredible impact on the elucidation of the genetic architecture of disease. The approaches used in these diseases have been successfully applied to numerous other complex diseases. For example, the heritability of AMD was confirmed upon the release of the first genome-wide association study (GWAS) along with confirmatory reports that supported the findings of that state-of-the art method, thus setting the foundation for future GWAS in other heritable diseases. Following this seminal discovery and applying it to other diseases including AD and MS, the genetic knowledge of AD expanded far beyond the well-known APOE locus and now includes more than 20 loci. MS genetics saw a similar increase beyond the HLA loci and now has more than 100 known risk loci. Ongoing and future efforts will seek to define the remaining heritability of these diseases; the next decade could very well hold the key to attaining this goal.	Department of Epidemiology and Biostatistics, Case Western Reserve University Medical Center, Cleveland, OH 44106, USA	10.3390/genes5030518	2014	5	3	-	-	518	18
Freude, Kristine; Pires, Carlota; Hyttel, Poul; Hall, Vanessa	Induced Pluripotent Stem Cells Derived from Alzheimer’s Disease Patients: The Promise, the Hope and the Path Ahead	Journal of Clinical Medicine	EN	Review	induced pluripotent stem cells; Alzheimer’s disease; disease modeling; human	The future hope of generated induced pluripotent stem cells (iPS cells) from Alzheimer’s disease patients is multifold. Firstly, they may help to uncover novel mechanisms of the disease, which could lead to the development of new and unprecedented drugs for patients and secondly, they could also be directly used for screening and testing of potential new compounds for drug discovery. In addition, in the case of familial known mutations, these cells could be targeted by use of advanced gene-editing techniques to correct the mutation and be used for future cell transplantation therapies. This review summarizes the work so far in regards to production and characterization of iPS cell lines from both sporadic and familial Alzheimer’s patients and from other iPS cell lines that may help to model the disease. It provides a detailed comparison between published reports and states the present hurdles we face with this new technology. The promise of new gene-editing techniques and accelerated aging models also aim to move this field further by providing better control cell lines for comparisons and potentially better phenotypes, respectively.	Department of Veterinary Clinical and Animal Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, Gronnegaardsvej 7, Frederiksberg C DK-1870, Denmark	10.3390/jcm3041402	2014	3	4	-	-	1402	35
Ghafar-Zadeh, Ebrahim	Wireless Integrated Biosensors for Point-of-Care Diagnostic Applications	Sensors	EN	Review	CMOS; point-of-care (POC); wireless biosensors (WBS); integrated electrochemical sensors	Recent advances in integrated biosensors, wireless communication and power harvesting techniques are enticing researchers into spawning a new breed of point-of-care (POC) diagnostic devices that have attracted significant interest from industry. Among these, it is the ones equipped with wireless capabilities that drew our attention in this review paper. Indeed, wireless POC devices offer a great advantage, that of the possibility of exerting continuous monitoring of biologically relevant parameters, metabolites and other bio-molecules, relevant to the management of various morbid diseases such as diabetes, brain cancer, ischemia, and Alzheimer’s. In this review paper, we examine three major categories of miniaturized integrated devices, namely; the implantable Wireless Bio-Sensors (WBSs), the wearable WBSs and the handheld WBSs. In practice, despite the aforesaid progress made in developing wireless platforms, early detection of health imbalances remains a grand challenge from both the technological and the medical points of view. This paper addresses such challenges and reports the state-of-the-art in this interdisciplinary field.	Department of Electrical Engineering and Computer Sciences, Lassonde School of Engineering,  York University, Toronto, ON M3J1P3, Canada	10.3390/s150203236	2015	15	2	-	-	3236	26
Skalova, Stepanka; Svadlakova, Tereza; Qureshi, Wasay; Dev, Kapil; Mokry, Jaroslav	Induced Pluripotent Stem Cells and Their Use in Cardiac and Neural Regenerative Medicine	International Journal of Molecular Sciences	EN	Review	iPS cells; cell reprogramming; directed differentiation; Parkinson’s disease; Alzheimer’s disease; Huntington’s disease	Stem cells are unique pools of cells that are crucial for embryonic development and maintenance of adult tissue homeostasis. The landmark Nobel Prize winning research by Yamanaka and colleagues to induce pluripotency in somatic cells has reshaped the field of stem cell research. The complications related to the usage of pluripotent embryonic stem cells (ESCs) in human medicine, particularly ESC isolation and histoincompatibility were bypassed with induced pluripotent stem cell (iPSC) technology. The human iPSCs can be used for studying embryogenesis, disease modeling, drug testing and regenerative medicine. iPSCs can be diverted to different cell lineages using small molecules and growth factors. In this review we have focused on iPSC differentiation towards cardiac and neuronal lineages. Moreover, we deal with the use of iPSCs in regenerative medicine and modeling diseases like myocardial infarction, Timothy syndrome, dilated cardiomyopathy, Parkinson’s, Alzheimer’s and Huntington’s disease. Despite the promising potential of iPSCs, genome contamination and low efficacy of cell reprogramming remain significant challenges.	Department of Histology and Embryology, Medical Faculty in Hradec Kralove,  Charles University in Prague, Simkova 870, Hradec Kralove 50038, Czech Republic	10.3390/ijms16024043	2015	16	2	-	-	4043	25
Seo, Dongmin; Lee, Min-Ho; Yu, Seok	Development of Network Analysis and Visualization System for KEGG Pathways	Symmetry	EN	Article	network analysis; network cluster; network visualization; KEGG pathway; bioinformatics	Big data refers to informationalization technology for extracting valuable information through the use and analysis of large-scale data and, based on that data, deriving plans for response or predicting changes. With the development of software and devices for next generation sequencing, a vast amount of bioinformatics data has been generated recently. Also, bioinformatics data based big-data technology is rising rapidly as a core technology by the bioinformatician, biologist and big-data scientist. KEGG pathway is bioinformatics data for understanding high-level functions and utilities of the biological system. However, KEGG pathway analysis requires a lot of time and effort because KEGG pathways are high volume and very diverse. In this paper, we proposed a network analysis and visualization system that crawl user interest KEGG pathways, construct a pathway network based on a hierarchy structure of pathways and visualize relations and interactions of pathways by clustering and selecting core pathways from the network. Finally, we construct a pathway network collected by starting with an Alzheimer’s disease pathway and show the results on clustering and selecting core pathways from the pathway network.	Department of Biomedical Convergence Technology, Korea Institute of Science and Technology Information, Daejeon 305-806, Korea	10.3390/sym7031275	2015	7	3	-	-	1275	14
Hofmann-Apitius, Martin; Ball, Gordon; Gebel, Stephan; Bagewadi, Shweta; De Bono, Bernard; Schneider, Reinhard; Page, Matt; Kodamullil, Alpha; Younesi, Erfan; Ebeling, Christian; Tegnér, Jesper; Canard, Luc	Bioinformatics Mining and Modeling Methods for the Identification of Disease Mechanisms in Neurodegenerative Disorders	International Journal of Molecular Sciences	EN	Review	mechanism-identification; bioinformatics; genetics; graphical models; knowledge-based modeling; multiscale; neurodegeneration; data integration; disease models	Since the decoding of the Human Genome, techniques from bioinformatics, statistics, and machine learning have been instrumental in uncovering patterns in increasing amounts and types of different data produced by technical profiling technologies applied to clinical samples, animal models, and cellular systems. Yet, progress on unravelling biological mechanisms, causally driving diseases, has been limited, in part due to the inherent complexity of biological systems. Whereas we have witnessed progress in the areas of cancer, cardiovascular and metabolic diseases, the area of neurodegenerative diseases has proved to be very challenging. This is in part because the aetiology of neurodegenerative diseases such as Alzheimer´s disease or Parkinson´s disease is unknown, rendering it very difficult to discern early causal events. Here we describe a panel of bioinformatics and modeling approaches that have recently been developed to identify candidate mechanisms of neurodegenerative diseases based on publicly available data and knowledge. We identify two complementary strategies—data mining techniques using genetic data as a starting point to be further enriched using other data-types, or alternatively to encode prior knowledge about disease mechanisms in a model based framework supporting reasoning and enrichment analysis. Our review illustrates the challenges entailed in integrating heterogeneous, multiscale and multimodal information in the area of neurology in general and neurodegeneration in particular. We conclude, that progress would be accelerated by increasing efforts on performing systematic collection of multiple data-types over time from each individual suffering from neurodegenerative disease. The work presented here has been driven by project AETIONOMY; a project funded in the course of the Innovative Medicines Initiative (IMI); which is a public-private partnership of the European Federation of Pharmaceutical Industry Associations (EFPIA) and the European Commission (EC).	Department of Bioinformatics, Fraunhofer Institute for Algorithms and Scientific Computing (SCAI), Institutszentrum Birlinghoven, Sankt Augustin D-53754, Germany	10.3390/ijms161226148	2015	16	12	-	-	26148	-
Hédou, Damien; Godeau, Julien; Loaëc, Nadège; Meijer, Laurent; Fruit, Corinne; Besson, Thierry	Synthesis of Thiazolo[5,4-f]quinazolin-9(8H)-ones as Multi-Target Directed Ligands of Ser/Thr Kinases	Molecules	EN	Article	thiazolo[5,4-f]quinazolin-9(8H)-ones; multi-target-directed ligand; protein kinases; microwave-assisted synthesis; CDK5; GSK-3; CLK1; CK1; DYRK1A.	A library of thirty novel thiazolo[5,4-f]quinazolin-9(8H)-one derivatives belonging to four series designated as 12, 13, 14 and 15 was efficiently prepared, helped by microwave-assisted technology when required. The efficient multistep synthesis of methyl 6-amino-2-cyano- benzo[d]thiazole-7-carboxylate (1) has been reinvestigated and performed on a multigram scale. The inhibitory potency of the final products against five kinases involved in Alzheimer’s disease was evaluated. This study demonstrates that some molecules of the 12 and 13 series described in this paper are particularly promising for the development of new multi-target inhibitors of kinases.	Normandie Univ; Uni Rouen; INSA; CNRS, COBRA, UMR 6014, 76000 Rouen, France	10.3390/molecules21050578	2016	21	5	-	-	578	-
Hédou, Damien; Dubouilh-Benard, Carole; Loaëc, Nadège; Meijer, Laurent; Fruit, Corinne; Besson, Thierry	Synthesis of Bioactive 2-(Arylamino)thiazolo[5,4-f]-quinazolin-9-ones via the Hügershoff Reaction or Cu- Catalyzed Intramolecular C-S Bond Formation	Molecules	EN	Article	Hügershoff reaction; thiazolo[5,4-f]quinazolin-9(8H)-ones; microwave-assisted synthesis; protein kinases; CDK5; GSK-3; CLK1; CK1; DYRK1A	A library of thirty eight novel thiazolo[5,4-f]quinazolin-9(8H)-one derivatives (series 8, 10, 14 and 17) was prepared via the Hügershoff reaction and a Cu catalyzed intramolecular C-S bond formation, helped by microwave-assisted technology when required. The efficient multistep synthesis of the key 6-amino-3-cyclopropylquinazolin-4(3H)-one (3) has been reinvestigated and performed on a multigram scale from the starting 5-nitroanthranilic acid. The inhibitory potency of the final products was evaluated against five kinases involved in Alzheimer’s disease and showed that some molecules of the 17 series described in this paper are particularly promising for the development of novel multi-target inhibitors of kinases.	Normandie Univ, UNIROUEN, INSA Rouen, CNRS, COBRA, 76000 Rouen, France	10.3390/molecules21060794	2016	21	6	-	-	794	-
Zhao, Yuhai; Alexandrov, Peter; Jaber, Vivian; Lukiw, Walter	Deficiency in the Ubiquitin Conjugating Enzyme UBE2A in Alzheimer’s Disease (AD) is Linked to Deficits in a Natural Circular miRNA-7 Sponge (circRNA; ciRS-7)	Genes	EN	Communication	Alzheimer’s disease (AD); circular RNA (circRNA); genetic control; miRNA-7; proteasome; proteolysis; ubiquitin conjugating enzyme E2A (UBE2A)	Our understanding of the highly specialized functions for small non-coding single-stranded RNA (ssRNA) in the transcriptome of the human central nervous system (CNS) continues to evolve. Circular RNAs (circRNAs), a recently discovered class of ssRNA enriched in the brain and retina, are extremely stable and intrinsically resilient to degradation by exonuclease. Conventional methods of ssRNA, microRNA (miRNA), or messenger RNA (mRNA) detection and quantitation requiring free ribonucleotide ends may have considerably underestimated the quantity and significance of CNS circRNA in the CNS. Highly-specific small ssRNAs, such as the ~23 nucleotide (nt) Homo sapien microRNA-7 (hsa-miRNA-7; chr 9q21.32), are not only abundant in the human limbic system but are, in addition, associated with a ~1400 nt circRNA for miRNA-7 (ciRS-7) in the same anatomical region. Structurally, ciRS-7 contains about ~70 tandem anti-miRNA-7 sequences and acts as an endogenous, anti-complementary miRNA-7 “sponge” that attracts, binds, and, hence, quenches, natural miRNA-7 functions. Using a combination of DNA and miRNA array technologies, enhanced LED-Northern and Western blot hybridization, and the magnesium-dependent exoribonuclease and circRNA-sensitive probe RNaseR, here we provide evidence of a significantly misregulated ciRS-7-miRNA-7-UBE2A circuit in sporadic Alzheimer’s disease (AD) neocortex (Brodmann A22) and hippocampal CA1. Deficits in ciRS-7-mediated “sponging events”, resulting in excess ambient miRNA-7 appear to drive the selective down-regulation in the expression of miRNA-7-sensitive mRNA targets, such as that encoding the ubiquitin conjugating enzyme E2A (UBE2A; chr Xq24). UBE2A, which normally serves as a central effector in the ubiquitin-26S proteasome system, coordinates the clearance of amyloid peptides via proteolysis, is known to be depleted in sporadic AD brain and, hence, contributes to amyloid accumulation and the formation of senile plaque deposits. Dysfunction of circRNA-miRNA-mRNA regulatory systems appears to represent another important layer of epigenetic control over pathogenic gene expression programs in the human CNS that are targeted by the sporadic AD process.	LSU Neuroscience Center, Louisiana State University Health Science Center, New Orleans, LA 70112, USA	10.3390/genes7120116	2016	7	12	-	-	116	-
De Filippis, Maria; Craven, Michael; Dening, Tom	Preferences of Informal Carers on Technology Packages to Support Meal Production by People Living with Dementia, Elicited from Personalised AT and ICT Product Brochures	Informatics	EN	Article	smart health; ambient assisted living; healthcare technology assessment; dementia; assistive technology; healthcare ICT; safety	Assistive technology (AT) can help support the continued independence of people living with dementia, supported by informal carers. Opinions and preferences of informal carers towards a range of assistive and digital information and communication technologies (ICT) to support food purchase and menu selection, including navigation and online shopping, and safe meal-making by individuals living with dementia were investigated. General attitudes and experiences with assistive technologies were first probed by means of a focus group with carers (n = 6), organised through the Alzheimer’s Society in Nottingham, England. A series of AT/ICT product brochures were then produced, describing packages of technologies to enable meal production. Task-specific questions were asked of carers (n = 10) at local Memory Cafés as to the perceived capabilities of each individual for shopping and meal-making. Carers were asked to make pair-wise choices in order to select a personalised brochure and to complete a questionnaire to elicit the practicality, desirability and affordability of specific products and to probe for preferences amongst key features. Opinions on ease-of-use, aesthetics, expected safety-in-use, independence of use and stigma related to the technology packages were also collected. Results showed that carers are able to make detailed choices and express preferences about assistive and digital technologies for the individuals in their care, and customise their enabler package. Most believed that having an enabler package would improve safety. Greater exposure of carers to newer digital products would be beneficial. The brochure method could be employed on consumer websites and by AT assessors.	Division of Psychiatry and Applied Psychology, School of Medicine, The University of Nottingham, Jubilee Campus, Nottingham NG7 2TU, UK	10.3390/informatics4010001	2017	4	1	-	-	1	-
