"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Implementation of an iPhone for characterizing Parkinson's disease tremor through a wireless accelerometer application","R. LeMoyne; T. Mastroianni; M. Cozza; C. Coroian; W. Grundfest","Biomedical Engineering IDP, UCLA, Los Angeles, CA, USA; Cognition Engineering, Pittsburgh, PA 15243 USA; Converge Robotics Corporation, Pittsburgh, PA 15202 USA; David Geffen School of Medicine, UCLA, Los Angeles, CA, USA; Biomedical Engineering IDP, UCLA, Los Angeles, CA, USA",2010 Annual International Conference of the IEEE Engineering in Medicine and Biology,"11 Nov 2010","2010","","","4954","4958","Parkinson's disease represents a chronic movement disorder, which is generally proportionally to age. The status of Parkinson's disease is traditionally classified through ordinal scale strategies, such as the Unified Parkinson's Disease Rating Scale. However, the application of the ordinal scale strategy inherently requires highly specialized and limited medical resources for interpretation. An alternative strategy involves the implementation of an iPhone application that enables the device to serve as a functional wireless accelerometer system. The Parkinson's disease tremor attributes may be recorded in either an effectively autonomous public or private setting, for which the resultant accelerometer signal of the tremor can be conveyed wireless and through email to a remote location for data post-processing. The initial testing and evaluation of the iPhone wireless accelerometer application for quantifying Parkinson's disease tremor successfully demonstrates the capacity to acquire tremor characteristics in an effectively autonomous environment, while potentially alleviating strain on limited and highly specialized medical resources.","1558-4615","978-1-4244-4123-5","10.1109/IEMBS.2010.5627240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5627240","Parkinson's disease;iPhone application;iPhone;wireless accelerometer;Parkinson's disease tremor quantification","Parkinson's disease;Accelerometers;Wireless communication;Wireless sensor networks;Acceleration;Brain stimulation","Acceleration;Cellular Phone;Diagnosis, Computer-Assisted;Diagnosis, Computer-Assisted;Equipment Design;Equipment Failure Analysis;Monitoring, Ambulatory;Monitoring, Ambulatory;Parkinson Disease;Parkinson Disease;Software;Telemedicine;Telemedicine;Telemetry;Telemetry;Transducers;Tremor;Tremor","92","3","19","IEEE","11 Nov 2010","","","IEEE","IEEE Conferences"
"Gait initiation evaluation after deep brain stimulation for Parkinson's disease: A 7-year follow-up","A. M. S. Muniz; W. Liu; H. Liu; K. E. Lyons; R. Pahwa; J. Nadal","Department of Post-graduation, Physical Education College of Brazilian Army, Rio de Janeiro, Brazil; Department of Physical Therapy and Rehabilitation Sciences, University of Kansas Medical Center, KS, USA; Department of Physical Therapy and Rehabilitation Sciences, University of Kansas Medical Center, KS, USA; Parkinsons Disease and Movemengt Disorder Center Department of Neurology, University of Kansas Medical Center, Kanas, KS, USA; Parkinsons Disease and Movemengt Disorder Center Department of Neurology, University of Kansas Medical Center, Kanas, KS, USA; Biomedical Engineering Program, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil",2010 Annual International Conference of the IEEE Engineering in Medicine and Biology,"11 Nov 2010","2010","","","3650","3653","This study evaluated the long-term effects of deep brain stimulation of the subthalamic nucleus (DBS-STN) on gait initiation. Six Parkinson's disease (PD) patients who had undergone DBS-STN and 31 control subjects were evaluated. PD subjects were assessed at two different time periods: 11.3 ± 10.3 (P1) and 78.9 ± 10.6 (P2) months after surgery. Subjects under stimulation were tested in two conditions: without medication and with medication. Principal components (PC) analysis was separately applied on vertical, anterior-posterior and medial-lateral ground reaction force (GRF) from gait initiation, during the anticipatory postural adjustment (APA) phase. Three PC scores were chosen by the scree test for each GRF component. The higher loading factors pointed to major differences between controls and PD patients on maximum APA amplitude for vertical and anterior-posterior GRF. Friedman test showed a significant difference in standard distance among conditions (P = 0.006), with the post-hoc test recognizing differences only between P1 and P2 in the medication-on condition. All distances increased in the follow-up evaluation (P2), when considering the same medication condition, indicating a worsening in gait initiation after 7 years of follow-up.","1558-4615","978-1-4244-4123-5","10.1109/IEMBS.2010.5627419","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5627419","","Parkinson's disease;Loading;Foot;PD control;Force;Principal component analysis;Medical diagnostic imaging","Deep Brain Stimulation;Female;Follow-Up Studies;Gait;Gait Disorders, Neurologic;Gait Disorders, Neurologic;Gait Disorders, Neurologic;Humans;Male;Middle Aged;Parkinson Disease;Parkinson Disease;Parkinson Disease;Treatment Outcome","3","","15","IEEE","11 Nov 2010","","","IEEE","IEEE Conferences"
"Assessment of the effects of subthalamic stimulation in Parkinson disease patients by artificial neural network","A. M. S. Muniz; W. Liu; H. Liu; K. E. Lyons; R. Pahwa; F. F. Nobre; J. Nadal","Federal University of Rio de Janeiro (COPPE-EE), Rio de Janeiro, Brazil; Department of Physical Therapy and Rehabilitation Sciences, University of Kansas, KS, USA; Department of Physical Therapy and Rehabilitation Sciences, University of Kansas, KS, USA; Parkinsons Disease and Movement Disorder Center, Department of Neurology, University of Kansas, KS, USA; Parkinsons Disease and Movement Disorder Center, Department of Neurology, University of Kansas, KS, USA; Federal University of Rio de Janeiro (COPPE-EE), Rio de Janeiro, Brazil; Federal University of Rio de Janeiro (COPPE-EE), Rio de Janeiro, Brazil",2009 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"13 Nov 2009","2009","","","5673","5676","This study aims at using a probabilistic neural network (PNN) for discriminating between normal and Parkinson disease (PD) subjects using as input the principal components (PCs) derived from vertical component of the ground reaction force (vGRF). The trained PNN was further used for evaluating the effects of deep brain stimulation of the subthalamic nucleus (STN DBS) on PD, with and without medication. A sample of 45 subjects (30 normal and 15 PD subjects who underwent STN DBS) was evaluated by gait analysis. PD subjects were assessed under four test conditions: without treatment (mof-sof), only with stimulation (mof-son) or medication (mon-sof), and with combined treatments (mon-son). PC analysis was applied on vGRF, where six PC scores were chosen by the broken stick test. Using a bootstrap approach for the PNN model, and the area under the receiver operating characteristic curve (AUC) as performance measurement, the first three and fifth PCs were selected as input variables. The PNN presented AUC = 3D 0.995 for classifying controls and PD subjects in the mof-sof condition. When applied to classify the PD subjects under treatment, the PNN indicated that STN DBS alone is more effective than medication, and further vGRF enhancement is obtained with combined therapies.","1558-4615","978-1-4244-3296-7","10.1109/IEMBS.2009.5333545","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5333545","Neural Network;Classification;Ground Reaction Force;Parkinson Disease;Deep Brain Stimulation","Parkinson's disease;Artificial neural networks;Medical treatment;Satellite broadcasting;Personal communication networks;Biological neural networks;Brain stimulation;Medical tests;Testing;Measurement","Algorithms;Deep Brain Stimulation;Diagnosis, Computer-Assisted;Female;Humans;Male;Middle Aged;Neural Networks (Computer);Parkinson Disease;Parkinson Disease;Pattern Recognition, Automated;Prognosis;Reproducibility of Results;Sensitivity and Specificity;Thalamus","8","","24","IEEE","13 Nov 2009","","","IEEE","IEEE Conferences"
"Quantification of Parkinson's disease characteristics using wireless accelerometers","R. LeMoyne; C. Coroian; T. Mastroianni","Biomedical Engineering IDP, UCL, Los Angeles, CA, USA; David Geffen School of Medicine, University of California, Los Angeles, Los Angeles, CA, USA; cognitive Engineering, Pittsburgh, PA, USA",2009 ICME International Conference on Complex Medical Engineering,"2 May 2009","2009","","","1","5","Parkinson's disease is classified as a chronic movement disorder. The incidence of Parkinson's disease is proportional to age. The status of Parkinson's disease is characterized through the Unified Parkinson's Disease Rating Scale. The Unified Parkinson's Disease Rating Scale is an ordinal scale, for which the scale is qualitatively evaluated. The inherent issue of the ordinal scale is the lack of a temporal parameter to evaluate the attributes of the movement disorder. The evaluation of the Parkinson's Disease Rating Scale requires clinical specialization, occurring in a clinical environment. Accelerometers, through the advent of miniaturization, have reached a capacity to advance the evaluation of Parkinson's disease. Tremor characteristics and temporal attributes of Parkinson's disease can be readily quantified. Accelerometer systems have been tested and evaluated for ascertaining general status, drug therapy efficacy, and amelioration of Parkinson's disease based on deep brain stimulation parameter settings. Further advance of the accelerometer characterization of Parkinson's disease attributes involves the incorporation of a fully wearable system. Such a system is possible with the integration of wireless 3D MEMS accelerometers. The device proposed incorporates a wireless and potentially wearable 3D MEMS accelerometer mounted on the dorsum of the hand. The wireless 3D MEMS accelerometer system can potentially track the Parkinson's disease status through out real time for a subject at the home-based setting of the subject. An implication of the device is a subject database can be generated quantifying the progression of Parkinson's disease. Drug therapy dosage may be optimized with quantified feedback from the wireless 3D MEMS accelerometer system. Deep brain stimulation parameters may be further refined, and the conceptual foundation for real time deep brain stimulation parameter optimization is established. Enclosed is the initial test and evaluation of the wireless 3D MEMS accelerometer system through the quantification of simulated tremor.","","978-1-4244-3315-5","10.1109/ICCME.2009.4906657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4906657","accelerometer;wireless accelerometer;Parkinson's disease quantification","Parkinson's disease;Accelerometers;Micromechanical devices;Brain stimulation;System testing;Drugs;Medical treatment;Real time systems;Databases;Feedback","","40","","21","IEEE","2 May 2009","","","IEEE","IEEE Conferences"
"Locomotor Disorders in Patients at Early Stages of Parkinson's Disease: a Quantitative Analysis","M. Ferrarin; I. Carpinella; M. Rabuffetti; E. Calabrese; P. Mazzoleni; R. Nemni","Bioengineering Centre, Don Carlo Gnocchi Foundation Onlus IRCCS, Milan, Italy; Bioengineering Centre, Don Carlo Gnocchi Foundation Onlus IRCCS, Milan, Italy; Bioengineering Centre, Don Carlo Gnocchi Foundation Onlus IRCCS, Milan, Italy; NeuroRehabilitation Department Don, Carlo Gnocchi Foundation Onlus IRCCS, Milan, Italy; Bioengineering Centre, Don Carlo Gnocchi Foundation Onlus IRCCS, Milan, Italy; NeuroRehabilitation Department Don, Carlo Gnocchi Foundation Onlus IRCCS, Milan, Italy",2006 International Conference of the IEEE Engineering in Medicine and Biology Society,"15 Dec 2016","2006","","","1224","1227","Several studies have been performed with automatic motion analysis techniques to investigated the locomotor disorders of patients with severe Parkinson's disease (PD). These are mainly related to steady-state walking. Aim of the present study was to investigate the presence and the degree of these disorders in patients at early stages of PD. For this purpose a group of patients with mild PD (H&Yles2) and a group of age-matched controls were assessed by means of multifactorial analysis of kinematic and kinetic variables, during the execution of the following motor tasks: steady-state walking, gait initiation and turning around an obstacle. Results showed that PD patients did not differ from controls in steady-state walking, while significant differences emerged in gait initiation and turning strategies. Main differences consisted in a limitation of the amplitude of the imbalance phase and of the first step, and, for the turning task, in a delayed initiation of the turning movement, with an altered head-trunk rotational strategy. It is concluded that patients in early stages of PD do not reveal, during steady state walking, consistent impairments of kinematic and kinetic patterns typical of severe PD patients. Nevertheless, they present significant alterations in transient conditions such as gait initiation and change of walking direction. The above results suggest that a quantitative analysis of locomotor tasks which imply the transition from one condition to another, could provide parameters useful for the characterization of early stage PD patients and, potentially, markers for a precox differential diagnosis respect other neurodegenerative diseases characterized by parkinsonisms","1557-170X","1-4244-0032-5","10.1109/IEMBS.2006.260677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4461979","","Parkinson's disease;Legged locomotion;Turning;Kinetic theory;Steady-state;Motion analysis;Muscles;Pelvis;Kinematics;Cities and towns","Aged;Computer Simulation;Diagnosis, Computer-Assisted;Female;Gait;Gait Disorders, Neurologic;Gait Disorders, Neurologic;Gait Disorders, Neurologic;Humans;Male;Middle Aged;Models, Biological;Movement;Oxygen Consumption;Parkinson Disease;Parkinson Disease;Parkinson Disease","27","","23","IEEE","15 Dec 2016","","","IEEE","IEEE Conferences"
"Detection of Parkinson’s Disease Using Rating Scale","Banita","Computer Science and Engineering Department, PDM University, Bahadurgarh, Haryana, India",2020 International Conference on Computational Performance Evaluation (ComPE),"18 Sep 2020","2020","","","121","125","Parkinson disease (PD) is a neurodegenerative disorder. Many common symptoms which may or may not indicate that patient is suffering from Parkinson Disease. In this study a novel rating scale has been introduced which helps to examine the level of Parkinson Disease but is not mandatory that a person having similar symptoms may surely suffering from Parkinson Disease. PD is an unsolved problem till date hence the study focuses on relevant features, drugs and common techniques used to detect or analyze PD. To overcome such problem different techniques will be used to study and analyze the early detection of PD. It can be analyzed with the help of deep understanding of Parkinson Disease. However presence of some common symptoms has not yet been described up to the mark to analyze the level of Parkinson Disease. Hence it is very challenging to detect early stage of Parkinson Disease. In study, work focuses on only confirmed symptoms of Parkinson Disease which doesn't deals to any other disease completely. Study also focus on the Unified Parkinson's Disease Rating scale (UPDRS) for Parkinson Disease along with respective symptoms. It includes the analysis in terms of medical science and computer applications for analyzing PD. Medication for PD has also been discussed in the study including wide literature survey which provide the clearance of the goal for treating PD. Proposed rating scale in the study is time efficient as compared with UPDRS.","","978-1-7281-6644-5","10.1109/ComPE49325.2020.9200071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9200071","Parkinson’s Disease;(Unified Parkinson Disease) UPD Rating Scale;Proposed (ABHITA) Rating Scale;Different techniques to analyze Parkinson Disease","Parkinson's disease;Image processing;Biomedical imaging;Drugs;Handheld computers;Satellite broadcasting","","6","","19","IEEE","18 Sep 2020","","","IEEE","IEEE Conferences"
"Evaluating the Effect of Galvanic Vestibular Stimulation in Parkinson's disease via Microstate Resting State EEG Analysis","K. S. Arani; A. Kazemi; M. S. Mirian; A. -H. Vahabie; W. D. Verchere; S. Lee; H. Soltanian-Zadeh; M. J. McKeown","School of Electrical and Computer Engineering University of Tehran, Tehran, Iran; Department of Psychology, Center for Mind and Brain, University of California, Davis, Davis, CA, United States; Pacific Parkinson's Research Center, Djavad Mowafaghian Center for Brain Health University of British Columbia, Vancouver, BC, Canada; School of Electrical and Computer Engineering University of Tehran, Tehran, Iran; Pacific Parkinson's Research Center, Djavad Mowafaghian Center for Brain Health University of British Columbia, Vancouver, BC, Canada; Pacific Parkinson's Research Center, Djavad Mowafaghian Center for Brain Health University of British Columbia, Vancouver, BC, Canada; CIPCE, School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; Faculty of Medicine (Neurology), University of British Columbia, Vancouver, BC, Canada",2022 29th National and 7th International Iranian Conference on Biomedical Engineering (ICBME),"2 Mar 2023","2022","","","129","134","Parkinson's disease (PD) is a neurological disorder based on changes in dynamic brain activity, which can be partially ameliorated with invasive Deep Brain Stimulation. Galvanic vestibular stimulation (GVS), a non-invasive method, could potentially improve the motor symptoms of Parkinson's disease, but the mechanisms are unclear. Biomarkers based on the electroencephalogram (EEG) are being actively pursued. Here we examine the properties of EEG microstates as a potential GVS-sensitive EEG biomarker, whereby multichannel, broadband EEG signals are approximated by a sequence of discrete spatial patterns. We used the Microstate Analysis plugin for EEGLAB and compared the characteristics between healthy (n=20) and people with PD (n=22, stimulated/sham, and OFF Medication/ ON Medication). We extracted 25 Microstate related features from 4 different microstates (‘A’ - ‘D’) and examined their differences between groups (a healthy control group was considered as the reference to extract the feature values). Overall disease severity, as assessed by the clinical Unified Parkinson's Disease Rating Scale (UPDRS) Part 3, was predictable from microstate features. The duration of microstate A - selected by LASSO during UPDRS prediction- was significantly changed by both types of GVS stimuli (multi-sine 50–100 Hz (GVS1), and multi-sine 100–150 Hz (GVS2)), but not medication. The fraction of total recording time for microstate C, also a key feature in disease prediction, was found to be selectively affected GVS1 only. The above results suggest that GVS may provide benefits complementary to medication but in a stimulus-dependent manner. These results could potentially guide optimal GVS design in the pursuit of complementary therapies.","","979-8-3503-9717-8","10.1109/ICBME57741.2022.10053026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053026","Electroencephalography;Microstate analysis;Parkinson's disease;Galvanic vestibular stimulation (GVS);lasso (least absolute shrinkage and selection operator)","Neurological diseases;Electric potential;Parkinson's disease;Deep brain stimulation;Medical treatment;Biomarkers;Feature extraction","","","","30","IEEE","2 Mar 2023","","","IEEE","IEEE Conferences"
"Parkinsons Disease Progression Prediction using Advanced Machine Learning Techniques","T. Bhattacharya; K. T. Thomas; L. Mathew","Department of Data Science, Christ (Deemed To Be) University, Pune, India; Department of Data Science, Christ (Deemed To Be) University, Pune, India; Department of Data Science, Christ (Deemed To Be) University, Pune, India",2024 International Conference on Electrical Electronics and Computing Technologies (ICEECT),"4 Nov 2024","2024","1","","1","5","Parkinson's disease (PD) is a neurodegenerative condition that affects people over time and significantly lowers their quality of life. Patients with PD experience both motor and non-motor symptoms. Through clinical evaluation, the Unified Parkinson's Disease Rating Scale (UPDRS) is used to quantify the severity of Parkinson's disease. No definitive diagnostic tests for PD currently exist. Emerging machine learning techniques show potential to forecast future UPDRS scores for making informed medical decisions and enable better disease management. This paper studies research leveraging proteomic data to forecast PD prognosis, focusing on advanced machine learning techniques like CatBoost Regressor, ElasticNet, XGBoost Regressor, RandomForest Regressor, ExtraTrees Regressor and DecisionTree Regressor.","","979-8-3503-7809-2","10.1109/ICEECT61758.2024.10739044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10739044","parkinsons’ disease;machine learning;unified parkinson's disease rating scale (UPDRS);proteomic data;CatBoost regressor;extraTrees regressor","Proteins;Parkinson's disease;Peptides;Proteomics;Biomarkers;Predictive models;Robustness;Planning;Prognostics and health management;Mutual information","","2","","15","IEEE","4 Nov 2024","","","IEEE","IEEE Conferences"
"Spectral Clustering of fMRI Data within Regions of Interest: Clarification of L-dopa effects in Parkinson's Disease","P. W. H. Lee; Z. J. Wang; S. J. Palmer; M. J. McKeown","Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Pacific Parkinsons Research Centre, University of British Columbia, Vancouver, BC, Canada; Pacific Parkinsons Research Centre, University of British Columbia, Vancouver, BC, Canada",2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"22 Oct 2007","2007","","","5235","5238","Identifying active regions of the brain that are task-related is important in fMRI study. Current methods of determining functional regions of interest (ROIs) are unsatisfactory because they either reduce the effect size or bias the statistical results. We propose a spectral clustering method for assessing those voxels within an ROI that are suitable for further task-activation analysis. Different similarity functions are studied and the correlation index is chosen based on the simulation study. In real fMRI study, further group analysis employing regression is investigated to identify different brain activation patterns between groups in order to reveal the effects of disease and medicine. A real fMRI case study in Parkinson's disease suggests that the technique is promising, warranting further study.","1558-4615","978-1-4244-0787-3","10.1109/IEMBS.2007.4353522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4353522","","Parkinson's disease;Frequency;Training data;Shape;Sparse matrices;Clustering methods;Data structures;Eigenvalues and eigenfunctions;Computational efficiency;Discrete wavelet transforms","Algorithms;Antiparkinson Agents;Brain;Brain;Brain Mapping;Cluster Analysis;Humans;Image Interpretation, Computer-Assisted;Levodopa;Magnetic Resonance Imaging;Parkinson Disease;Parkinson Disease;Prognosis;ROC Curve;Reproducibility of Results;Sensitivity and Specificity;Treatment Outcome","2","","14","IEEE","22 Oct 2007","","","IEEE","IEEE Conferences"
"Classification and visualization tool for gait analysis of Parkinson's disease","U. K. Pun; H. Gu; Z. Dong; N. S. Artan","New York Institute of Technology, New York, NY, USA; New York Institute of Technology, New York, NY, USA; New York Institute of Technology, New York, NY, USA; New York Institute of Technology, New York, NY, USA",2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"18 Oct 2016","2016","","","2407","2410","There is no standard diagnostic test for Parkinson's Disease. In this paper, we propose a data mining based statistical diagnostic method towards a standard and accurate diagnostic test. The result shows the proposed regression formula, which only requires patient's stride data, can provide a 90% accuracy to diagnose PD patients.","1558-4615","978-1-4577-0220-4","10.1109/EMBC.2016.7591215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7591215","classification;visualization;Parkinson's Disease","Data visualization;PD control;Three-dimensional displays;Parkinson's disease;Standards;Databases","Adult;Aged;Aged, 80 and over;Case-Control Studies;Data Mining;Female;Gait;Humans;Imaging, Three-Dimensional;Male;Middle Aged;Models, Statistical;Parkinson Disease;Regression Analysis;Reproducibility of Results;Statistics as Topic;Young Adult","9","","9","IEEE","18 Oct 2016","","","IEEE","IEEE Conferences"
