"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Novel Decision Support System for the Prognosis of Parkinson Disease","A. Poongodai; P. Singh; K. Soujanya; R. Muthukumar","Department of CSE, CMR College of Engineering & Technology, Hyderabad, India; Department of CSE(AIML) VNR Vignana Jyothi, Institute Of Engineering & Technology, Hyderabad, India; Department of CSE, CMR College of Engineering & Technology, Hyderabad, India; Department of Marketing Strategy, ICFAI, Hyderabad, India","2022 Sixth International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)","22 Dec 2022","2022","","","1083","1089","In this paper, Decision Support System using fuzzy logic is designed to track the progression of Parkinson disease (PD). As fuzzy logic can help people make decisions in situations when information is imprecise, incomplete or uncertain, it is widely used. In this proposed system, risk percentage of getting the disease for the unaffected subject (person), stage of the disease (Not having, Mild, Moderate and Advanced) for the given subject, and progressiveness of disease from one stage to another stage are reported. The system includes risk factor analysis to find the risk percentage of getting the disease and progression evaluation to determine the progressiveness and its nature (rapid, benign). With the inclusion of risk factor analysis in the proposed system, it is discovered that the progressiveness of the disease is known with an accuracy of 82.5%","2768-0673","978-1-6654-6941-8","10.1109/I-SMAC55078.2022.9986506","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9986506","Decision Support System;Fuzzy inference system;Fuzzifier;Membership function;Diagnosis and Prognosis;Parkinson disease","Decision support systems;Fuzzy logic;Prognostics and health management;Expert systems;Diseases;Fuzzy systems","","1","","20","IEEE","22 Dec 2022","","","IEEE","IEEE Conferences"
"Detection of Parkinson’s Disease using Inceptionv3 and Exception with Residual Attention Network","M. Agarwal; A. R. Singh; R. Priyadarshi","Department of Computing Intelligence, SRM Institute of Science and Technology, Kattankulathur, Tamilnadu, India; Department of Computing Intelligence, SRM Institute of Science and Technology, Kattankulathur, Tamilnadu, India; Department of Computing Intelligence, SRM Institute of Science and Technology, Kattankulathur, Tamilnadu, India",2025 5th International Conference on Pervasive Computing and Social Networking (ICPCSN),"19 Jun 2025","2025","","","837","841","Parkinson’s disease (PD) is a progressive neurodegenerative ailment that disturbs movement, cognitive function, and general value of life. Premature and precise findings are crucial for timely intervention and real administration. This study introduces a deep learning-based method that leverages InceptionV3 and Xception architectures, combined with a residual attention mechanism, to improve feature extraction and classification accuracy. The proposed method processes medical imaging data, emphasizing key patterns associated with PD through attention-driven feature refinement. The model undergoes training on the handwritten spiral dataset, leveraging transfer learning and fine-tuning techniques. Experimental results demonstrate improved accuracy and robustness in PD detection compared to conventional deep learning models, highlighting the effectiveness of residual attention in enhancing feature representation.","","979-8-3315-3519-3","10.1109/ICPCSN65854.2025.11034785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11034785","Parkinson’s disease;deep learning;InceptionV3;Xception;residual attention;medical imaging;neurodegenerative disorders","Deep learning;Training;Accuracy;Attention mechanisms;Spirals;Social networking (online);Transfer learning;Feature extraction;Robustness;Biomedical imaging","","","","15","IEEE","19 Jun 2025","","","IEEE","IEEE Conferences"
"XSH-ParK: XAI-based Parkinson Disease Diagnosis Framework For Smart Healthcare Using MRI Images","S. Vaghasiya; F. Ramoliya; R. Gupta; S. Tanwar; J. J. P. C. Rodrigues; I. Woungang","Department of Computer Science and Engineering, Institute of Technology, Nirma University, Gujarat, India; Amazonas State University, Manaus, AM, Brazil; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Gujarat, India; Amazonas State University, Manaus, AM, Brazil; Department of Computer Science, Toronto Metropolitan University, Toronto, Canada",GLOBECOM 2024 - 2024 IEEE Global Communications Conference,"11 Mar 2025","2024","","","3521","3526","Parkinson’s disease (PD) is a neurodegenerative disease which is the second most common neurological disease. Early diagnosis of PD poses significant challenges as in earlier stages of PD, symptoms can’t be clinically recognized. This paper presents a framework called XSH-ParK with integrated deep learning (DL) models and XAI techniques to assist in early PD diagnosis using MRI scans. Pre-trained models VGG16, InceptionV3, ResNet50 and a custom CNN are used to analyze the NTUA dataset, which consists of MRI scans of 78 individuals. Through rigorous evaluation considering accuracy, precision, recall, and F1-score metrics, it is evident that the fine-tuned VGG16 model achieves the highest efficiency with an accuracy rate of 97.56% in the XSH-ParK framework. Additionally, LIME and integrated gradient are the XAI methods used on the top-performing VGG16 model to provide transparent and interpretable diagnostic insights, Enabling healthcare professionals to understand the reasons behind the models’ decisions.","2576-6813","979-8-3503-5125-5","10.1109/GLOBECOM52923.2024.10901665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10901665","XAI;Parkinson’s Disease;AI;Interpretable AI;Explainable AI","Neurological diseases;Measurement;Accuracy;Explainable AI;Magnetic resonance imaging;Predictive models;Medical diagnosis;Global communication;Medical diagnostic imaging;Residual neural networks","","","","14","IEEE","11 Mar 2025","","","IEEE","IEEE Conferences"
"Speech-based Parkinson’s Disease Detection with Hybrid Machine Learning Approach","S. Soltana; T. Tabassum; N. Mamun","Department of Electronics and Telecommunication Engineering, Robust Speech Processing Laboratory (RSPL), Chittagong University of Engineering and Technology, Chittagong; Department of Electronics and Telecommunication Engineering, Robust Speech Processing Laboratory (RSPL), Chittagong University of Engineering and Technology, Chittagong; Department of Electronics and Telecommunication Engineering, Robust Speech Processing Laboratory (RSPL), Chittagong University of Engineering and Technology, Chittagong","2025 International Conference on Electrical, Computer and Communication Engineering (ECCE)","29 May 2025","2025","","","1","6","Parkinson’s disease (PD) is a prominent neurodegenerative disorder that affects millions of people worldwide. It leads to irregularities in motor function, speech, and cognitive abilities. Early detection of PD is crucial, as addressing the disease in its initial stages can result in better management and slower progression. This study explores the application of ensemble machine learning (ML) methods to enhance the accuracy and reliability of early PD detection. The ensemble techniques—Bagging, Boosting, Voting, and Stacking—work by combining the strengths of multiple models to overcome the limitations of traditional approaches, thereby improving diagnostic performance. These methods were applied to a feature set of 11 features that includes vocal biomarkers (MDVP, jitter, shimmer, and HNR) etc, which reflect the effects of PD on voice. The combination of ensemble learning as a strong diagnostic tool provides an overall accuracy of 97%, which was achieved in our experiment using 195 vocal samples (147 PD and 48 healthy). The high accuracy levels attained here seem to point toward ensemble methods, potentially providing a clearer advance for PD detection over single deep learning models. In the future, these methods can be validated on larger and more heterogeneous datasets and methods from deep learning will be explored to refine the diagnostic model even further.","","979-8-3503-5750-9","10.1109/ECCE64574.2025.11013416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11013416","Parkinson’s disease;Speech Feature;Machine Learning;Ensemble Methods;Early detection;Vocal biomarkers","Deep learning;Accuracy;Biological system modeling;Stacking;Biomarkers;Boosting;Robustness;Ensemble learning;Spectrogram;Diseases","","","","12","IEEE","29 May 2025","","","IEEE","IEEE Conferences"
"Deep Learning Approach to Parkinson’s Disease Detection Using Voice Recordings and Convolutional Neural Network Dedicated to Image Classification","M. Wodzinski; A. Skalski; D. Hemmerling; J. R. Orozco-Arroyave; E. Nöth","Department of Measurement and Electronics, AGH University of Science and Technology, Krakow, Poland; Department of Measurement and Electronics, AGH University of Science and Technology, Krakow, Poland; Department of Measurement and Electronics, AGH University of Science and Technology, Krakow, Poland; Department of Electronics and Telecommunications Engineering, Universidad de Antioquia UdeA, Medellin, Colombia; Pattern Recognition Lab, Friedrich-Alexander-Universität Erlangen-Nurnberg, Erlangen, Germany",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","717","720","This study presents an approach to Parkinson's disease detection using vowels with sustained phonation and a ResNet architecture dedicated originally to image classification. We calculated spectrum of the audio recordings and used them as an image input to the ResNet architecture pre-trained using the ImageNet and SVD databases. To prevent overfitting the dataset was strongly augmented in the time domain. The Parkinson's dataset (from PC-GITA database) consists of 100 patients (50 were healthy / 50 were diagnosed with Parkinson's disease). Each patient was recorded 3 times. The obtained accuracy on the validation set is above 90% which is comparable to the current state-of-the-art methods. The results are promising because it turned out that features learned on natural images are able to transfer the knowledge to artificial images representing the spectrogram of the voice signal. What is more, we showed that it is possible to perform a successful detection of Parkinson's disease using only frequency-based features. A spectrogram enables visual representation of frequencies spectrum of a signal. It allows to follow the frequencies changes of a signal in time.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8856972","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8856972","","Parkinson's disease;Databases;Deep learning;Feature extraction;Spectrogram;Biological neural networks;Audio recording","Deep Learning;Humans;Neural Networks, Computer;Parkinson Disease;Voice","94","","23","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"A Hybrid Transfer Learning Approach to Detect Parkinson's Disease","T. B. Shiraj; M. Shafiul Islam Dipta; N. Akhter","Department of Information and Communication Technology, Bangladesh University of Professionals, Dhaka, Bangladesh; Department of Mechanical and Production Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Bangladesh University of Professionals, Dhaka, Bangladesh",2023 26th International Conference on Computer and Information Technology (ICCIT),"27 Feb 2024","2023","","","1","6","Parkinson's disease (PD) is a degenerative brain condition characterized by motor and non-motor syndromes. Patients often experience hand tremors, affecting writing and drawing skills and slow motor action. Early detection of PD can improve medical treatment and lifestyles. Hence, this study aims to use a hybrid approach comprised of VGG16 Convolutional Neural Network and Random Forest (RF) algorithm to detect PD from archimedean spiral and wave drawing image datasets. The number of training datasets has been increased by utilizing image augmentation to train the model accurately. The accuracy of the model for the spiral drawing dataset is 93.34%, and for the wave drawing dataset, it is 90%.","","979-8-3503-5901-5","10.1109/ICCIT60459.2023.10441255","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441255","Parkinson;Transfer Learning;Hybridization;Feature Extraction","Training;Spirals;Computational modeling;Neurons;Transfer learning;Data models;Classification tree analysis","","1","","19","IEEE","27 Feb 2024","","","IEEE","IEEE Conferences"
"Parkinson's Tremor Suppression: A Spring-Based Passive Attenuator System","A. Kassim; K. Vasudevan; M. A. H. B. Azhar; S. K. Manna","Kent and Medway Medical School, Canterbury, UK; Kent and Medway Medical School, Canterbury, UK; School of Engineering, Technology and Design, Canterbury Christ Church University, Canterbury, UK; School of Engineering, Technology and Design, Canterbury Christ Church University, Canterbury, UK",2024 International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA),"11 Mar 2025","2024","","","1123","1128","Parkinson's disease (PD) is a neurodegenerative disorder often associated with tremors, which negatively impact the quality of life. While medications such as levodopa are commonly used to manage these symptoms, they come with side effects such as nausea and vomiting in the short term whereas abnormal involuntary movement in the long term. This paper explores an alternative approach through a biomechanical passive orthosis to suppress tremors. A comprehensive review of existing designs including fluid-based, balloon-based, magnet-based, and spring-based systems, highlights their limitations in terms of mobility, comfort, and usability. To address those issues, a novel spring-based passive attenuator system is proposed through a comprehensive systematic investigation of user needs. The user's criteria and design criteria are mapped together to develop the structural framework of the orthosis that can support full wrist joint movement and has the potential to offer tremor suppression for both flexion-extension and radial-ulnar deviations for PD patients. The proposed device can also emphasize comfort, ease of use and affordability targeting PD patients who experience action and rest tremors. The prototype is produced through 3D printing of acrylonitrile butadiene styrene (ABS) material and preliminary investigation shows that the device allows for a full range of motion, better wearability, and is lightweight, thus improving the daily functionality and quality of life for users.","","979-8-3315-0649-0","10.1109/ICICYTA64807.2024.10912998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912998","parkinson's disease;tremor suppression;passive orthosis;wrist joint movements","Wrist;Attenuators;Systematics;Reviews;Scalability;Prototypes;Three-dimensional printing;Motion control;Usability;Testing","","","","22","IEEE","11 Mar 2025","","","IEEE","IEEE Conferences"
"Predicting Parkinson’s Disease Using Multimodal Data and Machine Learning Techniques","A. Malik; V. Parihar; S. Mapari; M. Sathyamoorthy; R. Hajare; S. Saini","IIMT College of Engineering, Greater Noida, India; Symbiosis Institute of Geo-informatics, Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Computer Studies and Research (SICSR), Symbiosis International (Deemed University), Pune, India; KPR Institute of Engineering and Technology, Coimbatore, India; BMS Institute of Technology and Management, Bengaluru, Karnataka, India; Chandigarh University, Mohali, India","2024 2nd International Conference on Advances in Computation, Communication and Information Technology (ICAICCIT)","13 Mar 2025","2024","1","","60","65","Parkinson’s Disease (PD) is a degenerative neurological disease that has significant worldwide implications, impacting a considerable number of individuals across the globe. Timely identification of disease plays a critical role in easy and prior intrusion and improving patient health. The paper deliberates a comprehensive study that leverages Machine Learning (ML) algorithms to generate accurate models for detecting PD. Various ML techniques like decision trees, SVM, random forests etc., are employed in the analysis. The study utilizes a diverse dataset comprising clinical and demographic features of patients, including motor symptoms, medical history, and genetic information. The results display the efficacy of ML algorithms in discrimination between PD and healthy individuals. The models exhibit high accuracy, sensitivity, and specificity in identifying the disease. Furthermore, the predictive models developed in the study showcase promising performance in estimating disease progression and severity. This research’s discoveries add to the expanding knowledge base regarding the utilization of ML in PD’s diagnosis and prognosis.","","979-8-3315-4121-7","10.1109/ICAICCIT64383.2024.10912395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912395","Machine learning;SVM;Random Forest;KNN;Gaussian naïve Bayes;Bernoulli naïve Bayes;Parkinson’s disease","Support vector machines;Radio frequency;Accuracy;Nearest neighbor methods;Sensitivity and specificity;Bayes methods;Wearable devices;Random forests;Medical diagnostic imaging;Diseases","","","","21","IEEE","13 Mar 2025","","","IEEE","IEEE Conferences"
"The Impact of Wearable Electronics in Assessing the Effectiveness of Levodopa Treatment in Parkinson's Disease","M. Ricci; G. D. Lazzaro; V. Errico; A. Pisani; F. Giannini; G. Saggio","Department of Electronic Engineering, University of Rome “Tor Vergata”, Rome, Italy; Neurology Unit, Department of Systems Medicine, University of Rome “Tor Vergata”, Rome, Italy; Department of Electronic Engineering, University of Rome “Tor Vergata”, Rome, Italy; Department of Brain and Behavioral Sciences, University of Pavia, and IRCCS Mondino Foundation, Pavia, Italy; Department of Electronic Engineering, University of Rome “Tor Vergata”, Rome, Italy; Department of Electronic Engineering, University of Rome “Tor Vergata”, Rome, Italy",IEEE Journal of Biomedical and Health Informatics,"1 Jul 2022","2022","26","7","2920","2928","Objective: In order to evaluate Parkinson disease patients’ response to therapeutic interventions, sources of information are mainly patient reports and clinicians’ assessment of motor functions. However, these sources can suffer from patient's subjectivity and from inter/intra rater's score variability. Our work aimed at determining the impact of wearable electronics and data analysis in objectifying the effectiveness of levodopa treatment. Methods: Seven motor tasks performed by thirty-six patients were measured by wearable electronics and related data were analyzed. This was at the time of therapy initiation (T0), and repeated after six (T1) and 12 months (T2). Wearable electronics consisted of inertial measurement units each equipped with 3-axis accelerometer and 3-axis gyroscope, while data analysis of ANOVA and Pearson correlation algorithms, in addition to a support vector machine (SVM) classification. Results: According to our findings, levodopa-based therapy alters the patient's conditions in general, ameliorating something (e.g., bradykinesia), leaving unchanged others (e.g., tremor), but with poor correlation to the levodopa dose. Conclusion: A technology-based approach can objectively assess levodopa-based therapy effectiveness. Significance: Novel devices can improve the accuracy of the assessment of motor function, by integrating the clinical evaluation and patient reports.","2168-2208","","10.1109/JBHI.2022.3160103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9740001","Biomedical signal processing;inertial sensors;machine learning;motion analysis;Parkinson's disease;wearable technology","Medical treatment;Task analysis;Wearable computers;Legged locomotion;Angular velocity;Turning;Diseases","Humans;Hypokinesia;Levodopa;Parkinson Disease;Tremor;Wearable Electronic Devices","14","","45","IEEE","22 Mar 2022","","","IEEE","IEEE Journals"
"Detecting Effect of Levodopa in Parkinson’s Disease Patients Using Sustained Phonemes","N. D. Pah; M. A. Motin; P. Kempster; D. K. Kumar","Electrical Engineering Department, Universitas Surabaya, Surabaya, Indonesia; School of Engineering, RMIT University, Melbourne, VIC, Australia; Monash Health, Clayton, VIC, Australia; School of Engineering, RMIT University, Melbourne, VIC, Australia",IEEE Journal of Translational Engineering in Health and Medicine,"29 Mar 2021","2021","9","","1","9","Background: Parkinson’s disease (PD) is a multi-symptom neurodegenerative disease generally managed with medications, of which levodopa is the most effective. Determining the dosage of levodopa requires regular meetings where motor function can be observed. Speech impairment is an early symptom in PD and has been proposed for early detection and monitoring of the disease. However, findings from previous research on the effect of levodopa on speech have not shown a consistent picture. Method: This study has investigated the effect of medication on PD patients for three sustained phonemes; /a/, /o/, and /m/, which were recorded from 24 PD patients during medication off and on stages, and from 22 healthy participants. The differences were statistically investigated, and the features were classified using Support Vector Machine (SVM). Results: The results show that medication has a significant effect on the change of time and amplitude perturbation (jitter and shimmer) and harmonics of /m/, which was the most sensitive individual phoneme to the levodopa response. /m/ and /o/ performed at a comparable level in discriminating PD-off from control recordings. However, SVM classifications based on the combined use of the three phonemes /a/, /o/, and /m/ showed the best classifications, both for medication effect and for separating PD from control voice. The SVM classification for PD-off versus PD-on achieved an AUC of 0.81. Conclusion: Studies of phonation by computerized voice analysis in PD should employ recordings of multiple phonemes. Our findings are potentially relevant in research to identify early parkinsonian dysarthria, and to tele-monitoring of the levodopa response in patients with established PD.","2168-2372","","10.1109/JTEHM.2021.3066800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9380752","Dysarthria;drug response;Parkinson’s disease;sustained phonemes;voice analysis","Medical diagnostic imaging;Diseases;Support vector machines;Monitoring;Jitter;Harmonic analysis;Vibrations","Humans;Levodopa;Neurodegenerative Diseases;Parkinson Disease;Speech;Voice","28","","54","CCBY","17 Mar 2021","","","IEEE","IEEE Journals"
