"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Novel Grading Biomarker for the Prediction of Conversion From Mild Cognitive Impairment to Alzheimer's Disease","T. Tong; Q. Gao; R. Guerrero; C. Ledig; L. Chen; D. Rueckert; A. D. N. Initiative","Biomedical Image Analysis Group, Department of Computing, Imperial College London; Fujian Provincial Key Laboratory of Medical Instrument and Pharmaceutical Technology, Department of the Internet of Things, Fuzhou University, Fuzhou, China; Biomedical Image Analysis Group, Department of Computing, Imperial College London; Biomedical Image Analysis Group, Department of Computing, Imperial College London; Biomedical Image Analysis Group, Department of Computing, Imperial College London; Biomedical Image Analysis Group, Department of Computing, Imperial College London; Biomedical Image Analysis Group, Department of Computing, Imperial College London",IEEE Transactions on Biomedical Engineering,"20 Dec 2016","2017","64","1","155","165","Objective: Identifying mild cognitive impairment (MCI) subjects who will progress to Alzheimer's disease (AD) is not only crucial in clinical practice, but also has a significant potential to enrich clinical trials. The purpose of this study is to develop an effective biomarker for an accurate prediction of MCI-to-AD conversion from magnetic resonance images. Methods: We propose a novel grading biomarker for the prediction of MCI-to-AD conversion. First, we comprehensively study the effects of several important factors on the performance in the prediction task including registration accuracy, age correction, feature selection, and the selection of training data. Based on the studies of these factors, a grading biomarker is then calculated for each MCI subject using sparse representation techniques. Finally, the grading biomarker is combined with age and cognitive measures to provide a more accurate prediction of MCI-to-AD conversion. Results: Using the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset, the proposed global grading biomarker achieved an area under the receiver operating characteristic curve (AUC) in the range of 79-81% for the prediction of MCI-to-AD conversion within three years in tenfold cross validations. The classification AUC further increases to 84-92% when age and cognitive measures are combined with the proposed grading biomarker. Conclusion: The obtained accuracy of the proposed biomarker benefits from the contributions of different factors: a tradeoff registration level to align images to the template space, the removal of the normal aging effect, selection of discriminative voxels, the calculation of the grading biomarker using AD and normal control groups, and the integration of sparse representation technique and the combination of cognitive measures. Significance: The evaluation on the ADNI dataset shows the efficacy of the proposed biomarker and demonstrates a significant contribution in accurate prediction of MCI-to-AD conversion.","1558-2531","","10.1109/TBME.2016.2549363","7th Framework Program; European Commission(grant numbers:EU-Grant-611005-PredictND); Provincial Natural Science Foundation of Fujian, China(grant numbers:2016J05157); ADNI; NIH(grant numbers:U01 AG024904); National Institute on Aging; NIBIB; Pfizer Inc., Wyeth Research, Bristol-Myers Squibb, Eli Lilly and Company, GlaxoSmithKline, Merck & Co. Inc., AstraZeneca AB, Novartis Pharmaceuticals Corporation, Alzheimer's Association, Eisai Global Clinical Development, Elan Corporation plc, Forest Laboratories; Institute for the Study of Aging, with participation from the U.S. FDA; National Institutes of Health; Northern California Institute for Research and Education; Alzheimer's Disease Cooperative Study at the University of California, San Diego; Laboratory of Neuroimaging at the University of California, Los Angeles; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7445862","Alzheimer's disease (AD);biomarker;machine learning;prediction of mild cognitive impairment (MCI) conversion;structural magnetic resonance (MR) imaging","Aging;Pathology;Biomedical imaging;Alzheimer's disease;Biomedical measurement;Magnetic resonance imaging","Aged;Aging;Algorithms;Alzheimer Disease;Biomarkers;Brain;Cognitive Dysfunction;Disease Progression;Female;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Male;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Subtraction Technique","137","","60","IEEE","1 Apr 2016","","","IEEE","IEEE Journals"
"Longitudinal Alzheimer's Disease Progression Prediction With Modality Uncertainty and Optimization of Information Flow","D. -P. Dao; H. -J. Yang; J. Kim; N. -H. Ho; for the Alzheimer's Disease Neuroimaging Initiative","Department of Artificial Intelligence Convergence, Chonnam National University, Gwangju, South Korea; Department of Artificial Intelligence Convergence, Chonnam National University, Gwangju, South Korea; Department of Artificial Intelligence Convergence, Chonnam National University, Gwangju, South Korea; Department of Artificial Intelligence Convergence, Chonnam National University, Gwangju, South Korea; NA",IEEE Journal of Biomedical and Health Informatics,"7 Jan 2025","2025","29","1","259","272","Alzheimer's disease (AD) is a global neurodegenerative disorder that affects millions of individuals worldwide. Actual AD imaging datasets challenge the construction of reliable longitudinal models owing to imaging modality uncertainty. In addition, they are still unable to retain or obtain important information during disease progression from previous to followup time points. For example, the output values of current gates in recurrent models should be close to a specific value that indicates the model is uncertain about retaining or forgetting information. In this study, we propose a model which can extract and constrain each modality into a common representation space to capture intermodality interactions among different modalities associated with modality uncertainty to predict AD progression. In addition, we provide an auxiliary function to enhance the ability of recurrent gate robustly and effectively in controlling the flow of information over time using longitudinal data. We conducted comparative analysis on data from the Alzheimer's Disease Neuroimaging Initiative database. Our model outperformed other methods across all evaluation metrics. Therefore, the proposed model provides a promising solution for addressing modality uncertainty challenges in multimodal longitudinal AD progression prediction.","2168-2208","","10.1109/JBHI.2024.3472462","National Research Foundation of Korea (NRF); Korea Government (MSIT)(grant numbers:RS-2023-00208397,IITP-2024-RS-2024-00437718); Institute of Information & communications Technology Planning & Evaluation (IITP)(grant numbers:IITP-2023-RS-2023-00256629); Korea Government (MSIT); HCRI(grant numbers:23038); Chonnam National University Hwasun Hospital Institute for Biomedical Science; Alzheimer's Disease Neuroimaging Initiative (ADNI)(grant numbers:U01 AG024904); DOD ADNI Department of Defense(grant numbers:W81XWH-12-2-0012); National Institute on Aging; National Institute of Biomedical Imaging and Bioengineering; AbbVie, Alzheimer's Association; Alzheimer's Drug Discovery Foundation; Araclon Biotech; BioClinica; Biogen; Bristol-Myers Squibb Company; CereSpir, Inc.; Cogstate; Eisai Inc.; Elan Pharmaceuticals, Inc.; Eli Lilly and Company; EuroImmun; Roche; Genentech; Fujirebio; GE Healthcare; IXICO; Janssen Alzheimer Immunotherapy Research & Development, LLC.; Johnson & Johnson Pharmaceutical Research & Development LLC.; Lumosity; H. Lundbeck A/S; Merck & Company, Inc.; Meso Scale Diagnostics, LLC.; NeuroRx Research; Neurotrack Technologies; Novartis Pharmaceuticals Corporation; Pfizer; Piramal Imaging; Servier; Takeda Pharmaceutical Company; Transition Therapeutics; Canadian Institutes of Health Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10702601","Multimodal longitudinal data;modality uncertainty;variational autoencoder;recurrent gate;Alzheimer's disease progression","Uncertainty;Neuroimaging;Logic gates;Magnetic resonance imaging;Alzheimer's disease;Predictive models;Hidden Markov models;Data models;Biological system modeling;Long short term memory","Alzheimer Disease;Humans;Disease Progression;Longitudinal Studies;Neuroimaging;Uncertainty;Image Interpretation, Computer-Assisted;Databases, Factual;Brain;Aged;Algorithms","2","","46","CCBY","2 Oct 2024","","","IEEE","IEEE Journals"
"Neurodegenerative Disease Alzheimer's and Parkinson's Classification with Deep Learning","S. Jain; R. Srivastava","Department of Computer Science and Engineering, BHU, Indian Institute of Technology, Varanasi, U.P, India; Department of Computer Science and Engineering, BHU, Indian Institute of Technology, Varanasi, U.P, India",2025 3rd International Conference on Advancement in Computation & Computer Technologies (InCACCT),"28 May 2025","2025","","","798","803","Computer-aided devices and systems have become increasingly common in healthcare. These devices and systems contribute significantly to the faster and earlier diagnosis of diseases. Imaging devices, especially Magnetic Resonance Imaging (MRI) and Computed Tomography (CT), play a major role in diseases where early diagnosis is crucial. In neurological disorders, the use of MRI and CT images as input data in deep learning models is becoming increasingly widespread. In this study, MRI images from the ""Alzheimer Parkinson 3 Class Data Set"" available on the Kaggle platform were used for the diagnosis of Alzheimer's and Parkinson's diseases. The dataset includes three classes: 2,561 Alzheimer's, 906 Parkinson's, and 3,010 Control (Normal) images. In this work, the Alzheimer, Parkinson, and Normal classes were trained using ResNet-18, VGG-16, and ConvNext architectures, yielding accuracy rates of 96.2%, 95.4%, and 98.9%, respectively. Additionally, Alzheimer and Parkinson diseases were tested against the normal class using binary classifiers. For the Alzheimer-Normal and Parkinson-Normal classes, the models achieved the following results: ResNet-18 with accuracy rates of 82.0% and 96.1%, VGG-16 with 95.4% and 89.4%, and ConvNext with 99.4% and 99.5%, respectively.","","979-8-3315-4389-1","10.1109/InCACCT65424.2025.11011366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011366","Neurodegenerative Diseases;Medical Image Analysis;Early Disease Detection;Alzheimer's Disease;Parkinson's Disease","Training;Neurological diseases;Deep learning;Accuracy;Parkinson's disease;Magnetic resonance imaging;Computed tomography;Computer architecture;Alzheimer's disease;Diseases","","","","25","IEEE","28 May 2025","","","IEEE","IEEE Conferences"
"Predicting Alzheimer’s Disease Progression through Machine Learning Algorithms","B. M; G. S; S. Vedanth; A. Kodipalli; T. Rao; R. B. R","Dept. of AI & DS, Global Academy of Technology, Bangalore, Karnataka, India; Dept. of AI & DS, Global Academy of Technology, Bangalore, Karnataka, India; Dept. of AI & DS, Global Academy of Technology, Bangalore, Karnataka, India; Dept. of AI & DS, Global Academy of Technology, Bangalore, Karnataka, India; Dept. of AI & DS, Global Academy of Technology, Bangalore, Karnataka, India; Dept. of AI & DS, Global Academy of Technology, Bangalore, Karnataka, India",2023 International Conference on Recent Advances in Science and Engineering Technology (ICRASET),"8 Feb 2024","2023","","","1","5","This study revolves around the crucial task of early Alzheimer's disease (AD) detection using machine learning algorithms. Leveraging a dataset of 6400 preprocessed MRI images, the research rigorously evaluates a spectrum of models, encompassing Support Vector Machines (SVM) with diverse kernels, multidimensional Linear Discriminant Analysis (LDA), comprehensive Principal Component Analysis (PCA), and Convolutional Neural Networks (CNN) integrated within the architecture of EfficientNetB0. Significantly, the SVM model, utilizing a linear kernel, emerges as a standout performer, achieving an impressive accuracy of 98% in AD detection and a remarkable 98.7% in AD classification. These findings distinctly underscore the efficacy of SVM models, particularly when harnessed with linear kernels, as potent tools for precise AD detection and classification.","","979-8-3503-0692-7","10.1109/ICRASET59632.2023.10419907","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10419907","Alzheimer's disease;Early detection;Computational models;Support Vector Machines;Convolutional Neural Networks;EfficientNetB0;MRI images;Classification","Machine learning algorithms;Support vector machine classification;Convolutional neural networks;Kernel;Alzheimer's disease;Task analysis;Principal component analysis","","8","","16","IEEE","8 Feb 2024","","","IEEE","IEEE Conferences"
"Early Diagnosis and Classification of Alzheimer's Disease Using Convolutional Neural Network Based on MRI Images","S. Shanto; N. Haque","Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh; Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh",2024 2nd International Conference on Information and Communication Technology (ICICT),"21 Jan 2025","2024","","","199","203","Alzheimer's disease (AD) is a progressive neurode-generative disorder that affects memory, thinking, and behavior, gradually leading to mild to severe dementia. Over the past decade, researchers have leveraged deep learning models, such as Convolutional Neural Networks (CNN) and transfer learning, for the early detection and classification of AD. In this paper, we propose a simple and computationally cost-effective CNN architecture for the early diagnosis and classification of AD. The model was trained using ADNI T1-weighted 2D MRI scans, encompassing cognitively normal (CN) individuals, stable mild cognitive impairment (sMCI) cases, and Alzheimer's dementia (AD) patients. Experimental results demonstrate the superiority of our model, achieving an accuracy of 98.97%, thereby surpassing most previous studies while utilizing a low-cost custom CNN architecture.","","979-8-3315-0822-7","10.1109/ICICT64387.2024.10839698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10839698","—Alzheimer's disease;Convolutional neural network;ADNI;SMOTE","Accuracy;Magnetic resonance imaging;Computational modeling;Transfer learning;Computer architecture;Medical services;Manuals;Convolutional neural networks;Reliability;Alzheimer's disease","","1","","18","IEEE","21 Jan 2025","","","IEEE","IEEE Conferences"
"Dual Attention Graph Convolutional Network Fusing Imaging and Genetic Data for Early Alzheimer’s Disease Diagnosis","J. Li; P. Yang; J. Qu; B. Yang; Z. Guan; X. Song; X. Xiao; T. Wang; B. Lei","School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China; Shenzhen Second People’s Hospital, Affiliated Hospital of Shenzhen University, Health Science Center, Shenzhen University, Shenzhen, China; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, Shenzhen, China",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"17 Dec 2024","2024","","","1","4","Alzheimer’s Disease (AD) poses a significant global neurodegenerative challenge, underscoring the urgency of early clinical intervention. Our paper presents a novel approach for early AD diagnosis, focusing on a dual attention graph convolutional network that integrates multi-modal data. This methodology involves constructing image and gene graphs based on the image and genetic information of the subject. Graph convolution networks are then employed to extract embedded information from each graph. Enhanced diagnostic precision is achieved by utilizing self-attention and cross-attention mechanisms, facilitating the fusion of multi-modal state information crucial for early AD identification. Rigorous validation of the Alzheimer’s Disease Neuroimaging Initiative (ADNI) dataset underscores the model’s efficacy. Our method has demonstrated remarkable proficiency in diagnosing early-stage AD through experimental verification, assisting doctors in making accurate diagnoses of AD.","2694-0604","979-8-3503-7149-9","10.1109/EMBC53108.2024.10781972","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10781972","Alzheimer’s Disease;Multi-Modality;Graph Convolutional Network;Image and Gene;Cross Attention","Proteins;Neuroimaging;Accuracy;Graph convolutional networks;Convolution;Focusing;Genetics;Data mining;Medical diagnosis;Alzheimer's disease","Alzheimer Disease;Humans;Neuroimaging;Neural Networks, Computer;Algorithms;Image Processing, Computer-Assisted;Early Diagnosis","","","22","IEEE","17 Dec 2024","","","IEEE","IEEE Conferences"
"Classification of Alzheimer's Disease and Parkinson's Disease by Using Machine Learning and Neural Network Methods","S. Joshi; D. Shenoy; G. G. Vibhudendra Simha; P. L. Rrashmi; K. R. Venugopal; L. M. Patnaik","Department of Computer Science and Engineering, MGR University, Chennai, India; Department of Computer Science and Engineering, University of Visvesvaraya College of Engineering, Bangalore University, Bangalore, India; Dept. of Comput. Sci. & Eng., Univ. Visvesvaraya Coll. of Eng., Bangalore, India; Department of Computer Science and Engineering, University Visvesvaraya College of Engineering, Bangalore, India; Department of Computer Science and Engineering, University Visvesvaraya College of Engineering, Bangalore, India; Department of Computer Science and Engineering, University Visvesvaraya College of Engineering, Bangalore, India",2010 Second International Conference on Machine Learning and Computing,"6 May 2010","2010","","","218","222","Data mining is a fast evolving technology, is being adopted in biomedical sciences and research. Data mining in medicine is an emerging field of high importance for providing prognosis and a deeper understanding of the classification of neurodegenerative diseases. Given a data set of consists of 487 patients records collected from ADRC, USA. Around eight hundred and ninety patients were recruited to ADRC and diagnosed for AD (65%) and PD (40%), according to the established criteria. In our study we concentrated particularly on the major risk factors which are responsible for Alzheimer's disease and Parkinson's disease. This paper proposes a new model for the classification of Alzheimer's disease and Parkinson's disease by considering the most influencing risk factors. The main focus was on the selection of most influencing risk factors for both AD and PD using various attribute evaluation scheme with ranker search method. Different models for the classification of AD and PD using various classification techniques such as Neural Networks (NN) and Machine Learning (ML) methods were also developed. It was found that some specific genetic factors, diabetes, age and smoking were the strongest risk factors for Alzheimer's disease. Similarly, for the classification of Parkinson's disease, the risk factors such as stroke, diabetes, genes and age were the vital factors.","","978-1-4244-6007-6","10.1109/ICMLC.2010.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460738","Alzheimer's Disease;Parkinson's Disease;Ranker search method;Machine Learning (ML);Neural Networks (NN)","Alzheimer's disease;Parkinson's disease;Machine learning;Neural networks;Data mining;Diabetes;Medical diagnostic imaging;Recruitment;Search methods;Genetics","","52","","22","IEEE","6 May 2010","","","IEEE","IEEE Conferences"
"A CNN-Based Framework for Alzheimer's Disease Diagnosis and Prognosis from Multimodal Imaging Data","M. Balasubramanian; T. V. Sriram; G. G. Kumar; J. J. Godson Samuel; M. Kanishka","Department of CSE, S.A.Engineering College, Chennai, Tamil Nadu, India; Department of CSE, S.A.Engineering College, Chennai, Tamil Nadu, India; Department of CSE, S.A.Engineering College, Chennai, Tamil Nadu, India; Department of CSE, S.A.Engineering College, Chennai, Tamil Nadu, India; Department of CSE, S.A.Engineering College, Chennai, Tamil Nadu, India",2024 International Conference on Smart Technologies for Sustainable Development Goals (ICSTSDG),"17 Jun 2025","2024","","","1","6","Alzheimer is a brain imbalance that has an impact on millions of individuals worldwide, primarily the elderly. Early disease diagnosis and staging are critical for effective treatment and patient care. This study provides a unique approach to detecting and staging Alzheimer's disease. The dataset includes the results of MRI images of various stages of Alzheimer's disease. CNN models are meant to extract appropriate characteristics from MRI scans automatically, gathering local as well as international patterns associated with illness development. A brief inspection to be carried out to suggest the correct Approach. CNN Models classifies the Alzheimer stages and its execution metrics like final precised result, exactness and specified outcome are calculated. The outcomes of the research show that CNN accurately identifies Alzheimer's disease and staging its progression. When tested on unknown data, the models obtain high accuracy and the CNN models exhibit robustness and ability for generalization.","","979-8-3315-1628-4","10.1109/ICSTSDG61998.2024.11026073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11026073","Alzheimer's disease classification;CNN;MRI;disease diagnosis;staging","Measurement;Magnetic resonance imaging;Inspection;Data models;Robustness;Medical diagnosis;Alzheimer's disease;Sustainable development;Prognostics and health management;Older adults","","","","15","IEEE","17 Jun 2025","","","IEEE","IEEE Conferences"
"Early Diagnosis and Progression of Alzheimer's Disease Based on Long Short-Term Memory Model","Y. Jiang; Z. Yu; X. Yin; H. Guo","College of Educational Science and Technology, Zhejiang University of Technology, Hangzhou, China; College of Educational Science and Technology, Zhejiang University of Technology, Hangzhou, China; College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; College of Educational Science and Technology, Zhejiang University of Technology, Hangzhou, China","2023 5th International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)","11 Apr 2024","2023","","","620","624","With the growing aging population, Alzheimer's disease (AD) is becoming more prevalent. However, lack of awareness hinders early detection, leading to 67% of patients being diagnosed in the intermediate stage, missing the optimal intervention period. Therefore, research on early diagnosis of Alzheimer's disease holds practical value. Building on prior work, this study further subdivided the symptoms of Alzheimer's disease, segmenting mild cognitive impairment (MCI) into three categories, such as subjective memory complaints (SMC). This study constructed a clustering model based on neural networks and KNN, and used MAT LAB for model data training, to intelligently diagnose MCI, and ultimately achieving a 90% test accuracy rate. Additionally, considering the dynamic nature of AD progression, this study proposed an improved LSTM neural network method utilizing attention mechanisms to predict the development of patients' conditions across multiple clinical examinations, achieving a test accuracy rate of 88%.","","979-8-3503-5795-0","10.1109/RICAI60863.2023.10489198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10489198","Neural network;LSTM;KNN;Alzheimer's disease","Training;Sociology;Buildings;Predictive models;Data models;Alzheimer's disease;Statistics","","9","","10","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"DenseNet-Based Approach for Early Detection and Classification of Alzheimer's Disease Using MRI Images","P. Nasra; S. Gupta","Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India",2025 International Conference on Pervasive Computational Technologies (ICPCT),"1 Apr 2025","2025","","","170","175","Management and treatment of Alzheimer's disease depend on accurate diagnosis and prognosis for the condition. Using a reliable convolutional network, a DenseNet model, this work thoroughly assesses the classification of Alzheimer's disease with the help of MRI data. The suggested method precisely detects and labels several phases of Alzheimer's from MRI scans by using DenseNet depth and feature extraction. This study thoroughly evaluates the proposed model's performance using a dataset of MRI scans of preprocessed and labeled healthy controls, MCI, and AD patients. Regularization methods and transfer learning helped retrain the pre-trained DenseNet model for the medical application using the classification abilities for the right identification. Moreover, the DenseNet model attained a mean test accuracy of 92.5% with skilled data augmentation and model training methods. So, the proposed DenseNet model is. Model complexity and test accuracy are suitable for clinical purposes. These outcomes suggest that DenseNet might work as a tool to support medical diagnosis. Future research will focus on improving the predictive power of the model and investigating its integration into formal clinical processes and decision support systems to improve patient care and raise the science of imaging-based diagnostics of neurological diseases.","","979-8-3315-0868-5","10.1109/ICPCT64145.2025.10940932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10940932","Deep learning;DenseNet;Alzheimer's Disease;Image Classification;Neurological","Training;Deep learning;Accuracy;Magnetic resonance imaging;Transfer learning;Computer architecture;Feature extraction;Data models;Alzheimer's disease;Diseases","","1","","20","IEEE","1 Apr 2025","","","IEEE","IEEE Conferences"
