pmid,pmcid,title,journal,year,volume,issue,pages,doi,authors,first_author,last_author,epubdate,pubdate,mesh,affiliations,url,query
33244188,,Technology of deep brain stimulation: current status and future directions.,Nat Rev Neurol,2021,17,2,75-87,10.1038/s41582-020-00426-z,,,,,2021-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33244188,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
32429331,,IoT Wearable Sensors and Devices in Elderly Care: A Literature Review.,Sensors (Basel),2020,20,10,,10.3390/s20102826,,,,,2020-05-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32429331,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
34896605,,Robot-assisted gait training with auditory and visual cues in Parkinson's disease: A randomized controlled trial.,Ann Phys Rehabil Med,2022,65,3,101620,10.1016/j.rehab.2021.101620,,,,,2022-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34896605,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
39969437,,iPSC-based cell replacement therapy: from basic research to clinical application.,Cytotherapy,2025,27,7,835-842,10.1016/j.jcyt.2025.01.015,,,,,2025-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39969437,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
39385007,,One-step nanoscale expansion microscopy reveals individual protein shapes.,Nat Biotechnol,2025,43,9,1539-1547,10.1038/s41587-024-02431-9,,,,,2025-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39385007,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
32444562,,Deep Phenotyping of Parkinson's Disease.,J Parkinsons Dis,2020,10,3,855-873,10.3233/JPD-202006,,,,,2020-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32444562,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
36378799,,Connectivity-Based Brain Parcellation for Parkinson's Disease.,IEEE Trans Biomed Eng,2023,70,5,1539-1552,10.1109/TBME.2022.3222072,,,,,2023-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36378799,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
39275547,,Wearable Sensor-Based Assessments for Remotely Screening Early-Stage Parkinson's Disease.,Sensors (Basel),2024,24,17,,10.3390/s24175637,,,,,2024-08-30T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39275547,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
33612494,,"Domotics, Smart Homes, and Parkinson's Disease.",J Parkinsons Dis,2021,11,s1,S55-S63,10.3233/JPD-202398,,,,,2021-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33612494,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
30566299,,Deep brain stimulation for Parkinson's disease.,Nihon Rinsho,2017,75,1,83-88,,,,,,2017-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/30566299,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2014:2025[dp]) AND humans[MeSH Terms]"
