pmid,pmcid,title,journal,year,volume,issue,pages,doi,authors,first_author,last_author,epubdate,pubdate,mesh,affiliations,url
31410002,,"Alzheimer's disease: pathogenesis, diagnostics, and therapeutics.",Int J Nanomedicine,2019,14,,5541-5554,10.2147/IJN.S200490,,,,,2019-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31410002
37667136,,Emerging diagnostics and therapeutics for Alzheimer disease.,Nat Med,2023,29,9,2187-2199,10.1038/s41591-023-02505-2,,,,,2023-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37667136
33515559,,A review on advances of treatment modalities for Alzheimer's disease.,Life Sci,2021,276,,119129,10.1016/j.lfs.2021.119129,,,,,2021-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33515559
37654029,,Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia.,Alzheimers Dement,2023,19,12,5860-5871,10.1002/alz.13390,,,,,2023-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37654029
38565393,,NLRP3 inflammasome signalling in Alzheimer's disease.,Neuropharmacology,2024,252,,109941,10.1016/j.neuropharm.2024.109941,,,,,2024-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38565393
33278431,,Review on Alzheimer's disease: Inhibition of amyloid beta and tau tangle formation.,Int J Biol Macromol,2021,167,,382-394,10.1016/j.ijbiomac.2020.11.192,,,,,2021-01-15T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33278431
32429331,,IoT Wearable Sensors and Devices in Elderly Care: A Literature Review.,Sensors (Basel),2020,20,10,,10.3390/s20102826,,,,,2020-05-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32429331
40229575,,A meta-analysis of technology use and cognitive aging.,Nat Hum Behav,2025,9,7,1405-1419,10.1038/s41562-025-02159-9,,,,,2025-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40229575
33318650,,Human mini-brain models.,Nat Biomed Eng,2021,5,1,11-25,10.1038/s41551-020-00643-3,,,,,2021-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33318650
36625134,,Digital detection of proteins.,Lab Chip,2023,23,5,818-847,10.1039/d2lc00783e,,,,,2023-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36625134
31177871,,Blood-based diagnostics of Alzheimer's disease.,Expert Rev Mol Diagn,2019,19,7,613-621,10.1080/14737159.2019.1626719,,,,,2019-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31177871
36435391,,Nanomedicine-based immunotherapy for Alzheimer's disease.,Neurosci Biobehav Rev,2023,144,,104973,10.1016/j.neubiorev.2022.104973,,,,,2023-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36435391
27899432,,ALZ i-Connect.,Am J Alzheimers Dis Other Demen,2017,32,1,63-66,10.1177/1533317516677615,,,,,2017-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/27899432
33087025,,Nanomedicine against Alzheimer's and Parkinson's Disease.,Curr Pharm Des,2021,27,12,1507-1545,10.2174/1381612826666201021140904,,,,,2021-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33087025
35955631,,Clickable Biomaterials for Modulating Neuroinflammation.,Int J Mol Sci,2022,23,15,,10.3390/ijms23158496,,,,,2022-07-31T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35955631
28164767,,Nanotechnology for Alzheimer Disease.,Curr Alzheimer Res,2017,14,11,1182-1189,10.2174/1567205014666170203125008,,,,,2017-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/28164767
31247624,,Technology and Dementia: The Future is Now.,Dement Geriatr Cogn Disord,2019,47,3,131-139,10.1159/000497800,,,,,2019-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31247624
