pmid,pmcid,title,journal,year,volume,issue,pages,doi,authors,first_author,last_author,epubdate,pubdate,mesh,affiliations,url
38972602,,Artificial intelligence in Parkinson's disease: Early detection and diagnostic advancements.,Ageing Res Rev,2024,99,,102410,10.1016/j.arr.2024.102410,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38972602
39166947,,Brain-computer interfaces: the innovative key to unlocking neurological conditions.,Int J Surg,2024,110,9,5745-5762,10.1097/JS9.0000000000002022,,,,,2024-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39166947
38388734,,Mapping dysfunctional circuits in the frontal cortex using deep brain stimulation.,Nat Neurosci,2024,27,3,573-586,10.1038/s41593-024-01570-1,,,,,2024-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38388734
39969437,,iPSC-based cell replacement therapy: from basic research to clinical application.,Cytotherapy,2025,27,7,835-842,10.1016/j.jcyt.2025.01.015,,,,,2025-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39969437
39385007,,One-step nanoscale expansion microscopy reveals individual protein shapes.,Nat Biotechnol,2025,43,9,1539-1547,10.1038/s41587-024-02431-9,,,,,2025-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39385007
38792894,,General Treatments Promoting Independent Living in Parkinson's Patients and Physical Therapy Approaches for Improving Gait-A Comprehensive Review.,Medicina (Kaunas),2024,60,5,,10.3390/medicina60050711,,,,,2024-04-25T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38792894
39181623,,Digital biomarkers in Parkinson's disease.,Adv Clin Chem,2024,123,,221-253,10.1016/bs.acc.2024.06.005,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39181623
38486430,,On-Demand Cueing for Freezing of Gait in Parkinson's Disease: A Randomized Controlled Trial.,Mov Disord,2024,39,5,876-886,10.1002/mds.29762,,,,,2024-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38486430
39275547,,Wearable Sensor-Based Assessments for Remotely Screening Early-Stage Parkinson's Disease.,Sensors (Basel),2024,24,17,,10.3390/s24175637,,,,,2024-08-30T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39275547
38161106,,The history of deep brain stimulation.,Parkinsonism Relat Disord,2024,121,,105980,10.1016/j.parkreldis.2023.105980,,,,,2024-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38161106
39230314,,"Deep brain stimulation in Parkinson's disease: Looking back, looking forward.",Ann Acad Med Singap,2024,53,8,468-470,10.47102/annals-acadmedsg.2024260,,,,,2024-08-29T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39230314
38200143,,Architecture of the subthalamic nucleus.,Commun Biol,2024,7,1,78,10.1038/s42003-023-05691-4,,,,,2024-01-10T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38200143
39123961,,Using Video Technology and AI within Parkinson's Disease Free-Living Fall Risk Assessment.,Sensors (Basel),2024,24,15,,10.3390/s24154914,,,,,2024-07-29T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39123961
40396550,,Imaging and neuromodulation in Parkinson's disease.,Curr Opin Neurol,2025,38,4,322-327,10.1097/WCO.0000000000001380,,,,,2025-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40396550
38954651,,Dopamine and deep brain stimulation accelerate the neural dynamics of volitional action in Parkinson's disease.,Brain,2024,147,10,3358-3369,10.1093/brain/awae219,,,,,2024-10-03T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38954651
40185527,,Surgical Treatments of Parkinson's Disease.,Neurol Clin,2025,43,2,383-397,10.1016/j.ncl.2024.12.012,,,,,2025-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40185527
